s2orc_paper_id;writing_score
34414608;1:3,2:2,2:2,2:1,2:1,4:3,
1708776;2:3,2:3,2:3,2:3,3:3,5:3,
201059539;1:3,2:3,2:2,2:2,2:2,4:3,
14100385;1:3,2:3,2:3,3:3,2:2,2:2,4:3,
91584513;1:3,2:3,2:3,2:3,4:3,4:3,
691276;1:3,2:3,2:3,3:3,2:3,2:3,4:3,5:3,
54956439;1:1,2:1,2:2,2:2,2:2,2:2,3:3,4:1,4:1,4:3,
95158;1:3,3:3,2:3,4:2,4:3,2:2,
3833496;1:1,2:3,2:2,2:2,2:2,2:3,4:3,
15011797;2:3,2:3,3:3,2:3,4:3,5:3,
35106034;0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,
51602176;1:3,2:3,2:2,2:3,2:3,3:2,4:3,
42190049;1:3,2:3,2:3,2:3,3:3,3:3,4:3,
15660162;2:3,2:3,0:1,2:3,2:3,3:3,
14672579;2:3,2:2,3:3,2:2,2:1,4:3,
15993159;1:1,2:3,2:3,3:3,3:2,4:1,4:1,4:3,2:2,4:3,
10521748;1:3,2:3,2:2,2:2,2:2,4:3,
4939985;2:3,2:3,2:3,2:3,3:3,4:3,5:3,
13080740;1:3,2:3,2:3,3:3,3:3,4:3,
210165944;1:3,2:3,2:2,3:3,2:2,4:3,4:3,
9959026;1:3,3:3,2:2,2:3,3:3,4:3,4:2,4:2,4:2,4:2,4:2,
3830696;2:3,2:2,5:3,5:2,2:2,4:3,
16665989;1:3,2:3,2:3,2:3,4:3,
16450964;2:3,2:2,2:3,3:2,2:3,4:3,
208526488;2:3,2:3,2:3,2:2,2:3,2:3,4:3,
212971;2:3,2:3,2:3,2:2,2:2,2:2,3:3,
8112868;2:3,3:3,3:3,2:2,4:3,0:1,0:1,0:1,0:1,0:1,0:1,0:1,
52945037;1:3,2:3,2:2,2:3,2:2,3:3,4:3,
54174159;1:3,2:3,2:2,2:2,2:3,4:3,
3039150;1:3,2:3,2:2,2:3,2:2,2:2,4:3,
18266248;0:1,0:1,2:3,2:3,2:3,4:2,
53516695;2:3,2:3,2:3,2:3,2:2,2:2,3:3,4:3,
58940091;1:3,0:1,2:3,2:3,4:3,4:2,
2818133;1:3,2:3,2:3,2:2,2:2,3:3,5:3,
1216155;1:3,2:3,3:3,4:3,4:3,4:2,2:2,6:3,
18791575;2:3,2:3,2:2,0:1,0:1,0:1,0:1,
55636497;1:3,2:3,2:2,2:2,2:3,3:3,
52842534;1:3,2:3,2:3,2:3,2:3,3:3,
13004222;0:1,0:1,0:1,0:1,0:1,0:1,
14839843;1:3,2:3,4:3,2:3,2:3,2:3,4:3,
1200206;1:3,2:3,2:2,2:2,3:3,2:3,2:3,2:2,2:2,2:2,4:3,
82019242;2:2,2:3,2:3,2:2,2:2,2:1,3:3,4:3,
18080531;1:3,2:3,2:2,2:1,3:3,4:3,
17470108;2:3,3:3,2:3,3:3,2:2,4:3,
9109962;2:3,4:3,2:2,2:2,2:2,6:3,6:3,6:3,6:3,
12976076;2:3,2:3,2:3,2:3,2:3,4:3,
41655132;1:3,2:3,2:3,2:2,4:3,2:2,
85240646;1:3,2:3,2:3,2:2,2:2,2:2,3:3,
10944854;1:3,2:3,2:2,2:2,3:3,4:3,
42138945;0:1,0:1,0:1,0:1,0:1,0:1,
6511783;1:3,2:3,2:2,2:2,3:3,4:3,5:3,
859549;1:3,2:3,2:3,3:3,4:3,2:2,2:2,2:2,2:2,2:2,5:3,
18356751;0:1,0:1,0:1,0:1,0:1,0:1,
22127599;1:3,3:3,2:3,3:3,2:3,4:3,4:3,
16317388;2:2,2:2,2:2,2:2,3:3,2:2,4:3,
85235621;2:3,2:3,2:3,1:3,2:3,4:3,
16163687;1:1,3:3,4:3,0:1,0:1,
15667151;1:3,2:3,2:2,2:3,2:2,4:3,
73455248;1:3,2:3,2:3,2:3,2:3,3:3,
44182571;2:3,2:3,2:2,2:2,2:3,4:3,4:3,
14095229;1:3,2:3,0:1,3:3,2:2,2:3,
2871303;1:3,2:3,2:2,2:2,3:3,4:3,5:3,
155930153;1:3,2:2,2:2,2:3,2:3,4:3,
21486028;1:3,2:2,2:3,2:2,3:2,2:2,4:3,
86846039;1:3,2:3,2:3,2:2,3:3,4:3,
55779898;1:3,2:3,2:3,3:3,3:3,4:3,
16612363;0:1,0:1,0:1,2:3,4:3,3:3,4:3,
85730989;0:1,0:1,0:1,0:1,4:3,
8349745;1:3,2:3,2:2,2:3,2:3,2:3,2:2,2:2,4:3,
88721688;1:3,2:3,2:3,2:3,3:3,4:3,
1911481;1:3,2:3,3:3,4:3,4:3,0:1,
17306969;1:3,2:3,2:2,2:1,4:2,2:2,
7908246;1:3,2:3,2:2,0:1,3:3,2:2,3:3,4:3,6:3,
82210731;2:3,2:3,2:3,3:2,4:3,2:2,2:3,
195439999;1:3,2:3,2:3,2:2,2:2,2:2,4:3,
13020169;2:3,2:3,2:3,2:3,2:3,4:3,
1465416;1:3,2:3,2:3,2:2,2:3,2:3,2:2,3:3,
139104644;1:3,2:3,2:3,2:2,2:2,2:2,4:3,
1387309;1:3,2:3,2:2,3:3,2:3,3:3,
51935893;1:3,2:3,2:2,2:3,2:2,4:3,
82219803;1:3,2:3,2:3,2:3,3:3,4:3,
25386675;2:3,2:2,2:2,2:2,2:2,2:3,2:2,4:3,
59337907;1:3,2:3,2:2,2:2,2:3,4:3,
22102625;1:3,2:3,2:2,2:2,2:2,2:2,5:3,2:2,
4835859;2:3,2:3,2:2,2:2,2:2,4:3,
84055181;1:3,2:2,2:2,2:3,2:2,4:3,
22816398;2:3,2:3,2:2,2:3,2:3,4:3,
13602417;1:3,2:3,3:2,2:2,2:3,4:3,
5239646;1:3,2:3,2:1,2:2,2:3,2:3,2:2,2:2,4:3,
3201726;2:3,2:2,2:3,2:2,2:2,4:3,
12632778;1:3,2:3,2:2,2:2,2:2,2:2,2:1,4:3,
1622283;0:1,0:1,0:1,2:3,3:3,4:3,
