s2orc_paper_id;len_paragraph;IT;DB;ERQ;SO;SF;MO;IT_0_17;IT_17_34;IT_34_50;IT_50_67;IT_67_84;IT_84_100;DB_0_17;DB_17_34;DB_34_50;DB_50_67;DB_67_84;DB_84_100;ERQ_0_17;ERQ_17_34;ERQ_34_50;ERQ_50_67;ERQ_67_84;ERQ_84_100;SO_0_17;SO_17_34;SO_34_50;SO_50_67;SO_67_84;SO_84_100;SF_0_17;SF_17_34;SF_34_50;SF_50_67;SF_67_84;SF_84_100;MO_0_17;MO_17_34;MO_34_50;MO_50_67;MO_67_84;MO_84_100
34414608;6;0.17;0.34;0;0.17;0;0;0.17;0;0;0;0;0;0;0.11;0;0.16999999999999998;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
1708776;6;0;0.68;0.17;0;0.17;0;0;0;0;0;0;0;0.17;0.17;0;0.34;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0
201059539;6;0.17;0.5;0;0.17;0;0;0.17;0;0;0;0;0;0;0.17;0;0.22;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
14100385;7;0.14;0.48;0.14;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0.14;0;0.1;0.1;0;0;0;0.14;0;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
91584513;6;0.17;0.51;0;0.34;0;0;0.17;0;0;0;0;0;0;0.17;0;0.34;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0.17;0;0;0;0;0;0;0;0;0;0;0;0
691276;8;0.12;0.48;0.12;0.12;0.12;0;0.12;0;0;0;0;0;0;0.12;0.12;0.12;0.12;0;0;0;0;0.12;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0.12;0;0;0;0;0;0
54956439;10;0.03;0.31;0.1;0.16;0;0;0.03;0;0;0;0;0;0;0.1;0.07;0.14;0;0;0;0;0;0;0.1;0;0;0;0;0;0.03;0.13;0;0;0;0;0;0;0;0;0;0;0;0
95158;6;0.17;0.28;0.17;0.28;0;0;0.17;0;0;0;0;0;0;0;0;0.17;0;0.11;0;0.17;0;0;0;0;0;0;0;0.11;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0
3833496;7;0.05;0.58;0;0.14;0;0;0.05;0;0;0;0;0;0;0.14;0.1;0.1;0.1;0.14;0;0;0;0;0;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
15011797;6;0;0.51;0.17;0.17;0.17;0;0;0;0;0;0;0;0.17;0.17;0;0.17;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0
51602176;7;0.14;0.52;0.1;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0.1;0.14;0.14;0;0;0;0;0;0;0.1;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
42190049;7;0.14;0.42;0.28;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0.14;0.14;0;0;0;0;0;0;0.14;0.14;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
14672579;6;0;0.45;0.17;0.17;0;0;0;0;0;0;0;0;0.17;0.11;0;0.11;0.06;0;0;0;0;0.17;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
15993159;10;0.03;0.27;0.17;0.26;0;0;0.03;0;0;0;0;0;0;0.2;0;0;0;0.07;0;0;0.1;0.07;0;0;0;0;0;0.03;0.13;0.1;0;0;0;0;0;0;0;0;0;0;0;0
10521748;6;0.17;0.5;0;0.17;0;0;0.17;0;0;0;0;0;0;0.17;0;0.22;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
4939985;7;0;0.56;0.14;0.14;0.14;0;0;0;0;0;0;0;0.14;0.14;0.14;0.14;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0.14;0;0;0;0;0;0.14;0;0;0;0;0;0
13080740;6;0.17;0.34;0.34;0.17;0;0;0.17;0;0;0;0;0;0;0.17;0;0.17;0;0;0;0;0;0.17;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
210165944;7;0.14;0.34;0.14;0.28;0;0;0.14;0;0;0;0;0;0;0.14;0.1;0;0.1;0;0;0;0;0.14;0;0;0;0;0;0;0;0.28;0;0;0;0;0;0;0;0;0;0;0;0
9959026;11;0.09;0.15;0.18;0.39;0;0;0.09;0;0;0;0;0;0;0.06;0.09;0;0;0;0;0.09;0.09;0;0;0;0;0;0;0.15;0.12;0.12;0;0;0;0;0;0;0;0;0;0;0;0
3830696;6;0;0.39;0;0.17;0.28;0;0;0;0;0;0;0;0.17;0.11;0;0;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0.28;0;0;0;0;0;0;0;0
16450964;6;0;0.62;0.11;0.17;0;0;0;0;0;0;0;0;0.17;0.11;0;0.17;0.17;0;0;0;0;0.11;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
52945037;7;0.14;0.48;0.14;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0.1;0.14;0.1;0;0;0;0;0;0;0.14;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
54174159;6;0.17;0.56;0;0.17;0;0;0.17;0;0;0;0;0;0;0.17;0;0.22;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
3039150;7;0.14;0.58;0;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0.1;0.14;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
53516695;8;0;0.64;0.12;0.12;0;0;0;0;0;0;0;0;0.12;0.12;0.12;0.2;0.08;0;0;0;0;0;0;0.12;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0
58940091;6;0.17;0.34;0;0.28;0;0;0.17;0;0;0;0;0;0;0;0;0.34;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0.11;0;0;0;0;0;0;0;0;0;0;0;0
2818133;7;0.14;0.48;0.14;0;0.14;0;0.14;0;0;0;0;0;0;0.14;0.14;0.1;0.1;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0.14;0;0;0;0;0;0
1216155;8;0.12;0.2;0.12;0.32;0;0.12;0.12;0;0;0;0;0;0;0.12;0;0;0;0.08;0;0;0.12;0;0;0;0;0;0;0.24;0.08;0;0;0;0;0;0;0;0;0;0;0;0;0.12
55636497;6;0.17;0.56;0.17;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0.22;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52842534;6;0.17;0.68;0.17;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0.34;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14839843;7;0.14;0.56;0;0.28;0;0;0.14;0;0;0;0;0;0;0.14;0;0.14;0.14;0.14;0;0;0;0;0;0;0;0;0.14;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
1200206;11;0.09;0.57;0.09;0.09;0;0;0.09;0;0;0;0;0;0;0.15;0.06;0.18;0.12;0.06;0;0;0.09;0;0;0;0;0;0;0;0;0.09;0;0;0;0;0;0;0;0;0;0;0;0
82019242;8;0;0.52;0.12;0.12;0;0;0;0;0;0;0;0;0.08;0.12;0.12;0.16;0.04;0;0;0;0;0;0;0.12;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0
18080531;6;0.17;0.34;0.17;0.17;0;0;0.17;0;0;0;0;0;0;0.17;0;0.16999999999999998;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
