s2orc_paper_id;writing_score
16880444;2:3,2:3,2:3,3:3,3:2,4:3,4:3,5:3,6:3,
17352760;1:3,3:2,4:3,5:2,6:3,0:1,0:1,2:3,6:3,0:1,4:3,
578349;1:3,2:3,2:2,3:3,6:3,5:3,
5167271;1:3,2:3,3:3,4:3,5:2,6:3,
2725803;1:3,2:3,2:2,2:2,3:3,6:3,
2680602;1:3,2:3,3:3,2:2,2:2,4:3,5:3,
43176051;1:3,2:3,0:1,0:1,2:2,3:3,
14274262;2:2,2:2,2:2,3:3,6:3,6:3,
8831047;1:3,2:3,2:2,6:2,6:3,3:2,4:1,4:3,4:2,
43801651;1:3,2:3,2:3,2:2,2:2,6:3,
333785;2:3,2:3,2:3,2:3,3:3,4:3,2:2,6:3,6:3,
16185702;1:3,0:1,2:3,2:3,3:3,2:2,4:3,4:3,4:3,6:3,
653984;1:3,1:2,2:3,2:3,3:3,4:3,
1236;1:3,2:3,4:3,5:3,5:3,6:3,
17145762;1:3,2:2,2:2,2:3,3:3,4:3,6:3,
691276;2:3,2:3,3:3,2:2,2:2,2:3,4:3,5:3,
14726071;2:3,2:2,4:3,2:2,2:2,2:2,3:3,
14531812;1:3,2:3,2:3,2:3,2:2,2:2,4:3,
282895;1:3,2:3,2:2,4:3,2:2,2:2,2:2,2:1,2:1,3:3,4:3,6:3,
15126836;0:1,0:1,0:1,0:1,0:1,4:3,3:3,3:2,5:3,
15348366;1:3,2:3,2:2,2:3,4:3,4:3,6:3,
11062869;1:3,2:3,2:2,4:3,5:3,0:1,0:1,6:3,
17315153;2:3,0:1,2:2,2:3,3:3,4:3,2:2,1:1,2:2,0:1,0:1,
18385766;2:3,3:3,4:3,4:3,4:3,2:2,2:2,2:2,6:3,
210714576;1:2,2:3,2:3,4:3,3:2,4:3,6:3,
202712678;2:3,2:2,3:3,4:3,4:2,4:2,6:2,
6786632;1:3,2:3,2:2,3:3,4:3,6:3,
13581984;1:3,2:3,3:3,4:3,5:3,6:3,
13361520;1:3,2:3,2:3,4:3,4:3,4:3,6:3,
3222139;1:3,2:3,2:2,2:2,2:2,2:2,
53231671;1:1,2:2,2:3,4:3,4:2,4:3,
19004499;1:3,2:3,2:2,2:3,2:2,4:3,0:1,6:3,
5352336;2:3,2:2,2:1,4:3,3:3,3:2,5:3,2:2,2:3,6:3,
17319523;1:3,2:3,2:3,2:3,3:3,2:3,
638513;1:3,2:3,4:3,2:2,2:2,6:3,
3429309;1:3,3:3,2:2,2:2,2:2,6:3,5:3,5:2,
18335403;1:3,2:3,2:2,2:2,3:3,4:3,
