s2orc_paper_id;len_paragraph;IT;DB;ERQ;SO;SF;MO;IT_0_17;IT_17_34;IT_34_50;IT_50_67;IT_67_84;IT_84_100;DB_0_17;DB_17_34;DB_34_50;DB_50_67;DB_67_84;DB_84_100;ERQ_0_17;ERQ_17_34;ERQ_34_50;ERQ_50_67;ERQ_67_84;ERQ_84_100;SO_0_17;SO_17_34;SO_34_50;SO_50_67;SO_67_84;SO_84_100;SF_0_17;SF_17_34;SF_34_50;SF_50_67;SF_67_84;SF_84_100;MO_0_17;MO_17_34;MO_34_50;MO_50_67;MO_67_84;MO_84_100
16880444;9;0;0.33;0.18;0.22;0.11;0.11;0;0;0;0;0;0;0.11;0.22;0;0;0;0;0;0;0.11;0.07;0;0;0;0;0;0.11;0.11;0;0;0;0;0;0;0.11;0;0;0;0;0;0.11
5167271;6;0.17;0.17;0.17;0.17;0.11;0.17;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0.17;0;0;0;0;0;0;0.11;0;0;0;0;0;0;0.17
2725803;6;0.17;0.39;0.17;0;0;0.17;0.17;0;0;0;0;0;0;0.17;0;0.22;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17
2680602;7;0.14;0.34;0.14;0.14;0.14;0;0.14;0;0;0;0;0;0;0.14;0;0.1;0.1;0;0;0;0.14;0;0;0;0;0;0;0;0;0.14;0;0;0;0;0;0.14;0;0;0;0;0;0
43176051;6;0.17;0.28;0.17;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0.11;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43801651;6;0.17;0.56;0;0;0;0.17;0.17;0;0;0;0;0;0;0.17;0;0.28;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17
333785;8;0;0.56;0.12;0.12;0;0.12;0;0;0;0;0;0;0.12;0.12;0.12;0.12;0;0.08;0;0;0;0.12;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0.12
16185702;10;0.1;0.27;0.1;0.3;0;0.1;0.1;0;0;0;0;0;0;0.1;0.1;0.07;0;0;0;0;0;0.1;0;0;0;0;0;0;0.2;0.1;0;0;0;0;0;0;0;0;0;0;0;0.1
653984;6;0.28;0.34;0.17;0.17;0;0;0.17;0.11;0;0;0;0;0;0;0;0.34;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
1236;6;0.17;0.17;0;0.17;0.34;0.17;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0.17;0.17;0;0;0;0;0;0;0.17
17145762;7;0.14;0.34;0.14;0.14;0;0.14;0.14;0;0;0;0;0;0;0.1;0.1;0.14;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0.14
691276;8;0;0.52;0.12;0.12;0.12;0;0;0;0;0;0;0;0.12;0.12;0;0.16;0.12;0;0;0;0.12;0;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0.12;0;0;0;0;0;0
14726071;7;0;0.54;0.14;0.14;0;0;0;0;0;0;0;0;0.14;0.1;0;0.1;0.1;0.1;0;0;0;0;0;0.14;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14531812;7;0.14;0.62;0;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0.14;0.14;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
282895;12;0.08;0.38;0.08;0.16;0;0.08;0.08;0;0;0;0;0;0.08;0.06;0.06;0.15;0.03;0;0;0;0;0;0.08;0;0;0.08;0;0;0;0.08;0;0;0;0;0;0;0;0;0;0;0;0.08
15348366;7;0.14;0.38;0;0.28;0;0.14;0.14;0;0;0;0;0;0;0.14;0.1;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0.14;0;0;0;0;0;0;0;0;0;0;0;0.14
11062869;8;0.12;0.2;0;0.12;0.12;0.12;0.12;0;0;0;0;0;0;0.12;0.08;0;0;0;0;0;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0.12
17315153;11;0.03;0.36;0.09;0.09;0;0;0;0;0;0;0.03;0;0.09;0.06;0.09;0.06;0.06;0;0;0;0.09;0;0;0;0;0;0;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18385766;9;0;0.32;0.11;0.33;0;0.11;0;0;0;0;0;0;0.11;0;0;0.07;0.07;0.07;0;0.11;0;0;0;0;0;0.11;0.11;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0.11
210714576;7;0.1;0.28;0.1;0.28;0;0.14;0.1;0;0;0;0;0;0;0.14;0.14;0;0;0;0;0;0;0;0.1;0;0;0;0;0.14;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0.14
202712678;7;0;0.24;0.14;0.34;0;0.1;0;0;0;0;0;0;0.14;0.1;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0.14;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0.1
6786632;6;0.17;0.28;0.17;0.17;0;0.17;0.17;0;0;0;0;0;0;0.17;0;0.11;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0.17
13581984;6;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17
13361520;7;0.14;0.28;0;0.42;0;0.14;0.14;0;0;0;0;0;0;0.14;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0.14;0.14;0;0;0;0;0;0;0;0;0;0;0;0.14
53231671;6;0.06;0.28;0;0.45;0;0;0.06;0;0;0;0;0;0;0.11;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0.17;0.11;0.17;0;0;0;0;0;0;0;0;0;0;0;0
19004499;8;0.12;0.4;0;0.12;0;0.12;0.12;0;0;0;0;0;0;0.12;0.08;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0.12
5352336;10;0;0.37;0.17;0.1;0.1;0.1;0;0;0;0;0;0;0.1;0.1;0;0;0.07;0.1;0;0;0;0.17;0;0;0;0;0.1;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0.1
17319523;6;0.17;0.68;0.17;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0.34;0;0.17;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
638513;6;0.17;0.39;0;0.17;0;0.17;0.17;0;0;0;0;0;0;0.17;0;0.11;0.11;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17
3429309;6;0.17;0.33;0.17;0;0;0.17;0.17;0;0;0;0;0;0;0;0;0.22;0.11;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17
18335403;6;0.17;0.39;0.17;0.17;0;0;0.17;0;0;0;0;0;0;0.17;0;0.22;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
19175604;9;0;0.33;0.22;0.11;0;0.11;0;0;0;0;0;0;0.11;0.11000000000000001;0.07;0.04;0;0;0;0;0;0.11;0.11;0;0;0;0;0;0;0.11;0;0;0;0;0;0;0;0;0;0;0;0.11
1072005;6;0;0.39;0;0.17;0.17;0.17;0;0;0;0;0;0;0.17;0.11;0;0.11;0;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17
3475969;10;0.1;0.1;0.1;0.1;0.5;0.1;0.1;0;0;0;0;0;0;0.1;0;0;0;0;0;0.1;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0.2;0.2;0.1;0;0;0;0;0;0.1
