s2orc_paper_id;writing_score
153997343;1:3,1:2,2:3,3:3,4:3,5:3,5:2,6:3,
299873;1:3,2:3,3:3,4:3,2:2,6:3,0:1,2:3,2:2,2:2,2:2,2:1,
53652362;1:3,2:3,2:2,4:3,2:2,4:3,
154640530;1:3,2:3,4:3,2:2,2:2,2:2,4:1,4:3,2:2,2:2,6:3,
6175988;1:3,2:3,3:3,0:2,4:3,6:3,5:3,5:3,
59153655;2:3,2:2,2:2,2:3,3:3,2:2,2:2,2:2,
54696262;1:3,2:3,2:2,2:3,2:3,3:3,4:3,
10127158;1:3,2:3,2:3,3:3,3:3,3:3,2:3,4:3,2:2,6:3,
154472215;2:3,2:3,2:3,3:3,2:3,3:3,4:3,4:2,4:2,4:2,4:2,5:3,
53622716;2:3,2:2,2:3,2:2,2:2,4:3,4:3,
195282560;1:3,4:3,2:3,3:3,3:2,5:3,5:3,5:2,5:2,5:2,6:3,
19394306;1:3,2:3,3:3,2:2,4:3,3:3,4:3,6:3,
181525359;1:3,2:3,3:3,2:2,6:3,4:3,5:3,4:2,
42489969;1:3,2:3,2:3,2:3,4:3,4:3,
119172580;2:3,4:3,2:3,2:3,3:2,4:3,6:3,
33075931;2:3,2:3,3:3,2:2,2:2,2:2,4:3,
53453437;2:3,2:3,3:3,2:2,2:2,6:3,
16035896;1:3,2:3,2:3,2:3,3:3,3:2,2:2,2:2,
12683930;1:3,2:3,3:3,2:2,4:2,4:2,6:3,
13902245;2:3,4:3,2:3,2:3,6:3,0:1,2:2,3:3,2:2,6:2,2:3,
42834708;2:3,2:3,2:2,2:2,4:3,4:3,4:2,6:3,
46893061;1:3,2:3,3:3,2:2,2:2,2:2,4:3,
14080011;1:3,2:3,2:3,3:3,3:3,4:3,4:3,3:3,4:3,5:3,6:3,
153359305;2:3,3:3,3:3,5:3,5:3,5:3,5:3,5:3,6:3,
54737917;1:3,2:3,3:3,4:3,0:2,6:3,
16940879;2:3,2:2,2:2,2:2,2:3,3:3,3:3,4:3,4:3,6:3,
158637234;1:3,1:1,2:3,2:3,3:3,4:3,6:3,
