s2orc_paper_id;len_paragraph;IT;DB;ERQ;SO;SF;MO;IT_0_17;IT_17_34;IT_34_50;IT_50_67;IT_67_84;IT_84_100;DB_0_17;DB_17_34;DB_34_50;DB_50_67;DB_67_84;DB_84_100;ERQ_0_17;ERQ_17_34;ERQ_34_50;ERQ_50_67;ERQ_67_84;ERQ_84_100;SO_0_17;SO_17_34;SO_34_50;SO_50_67;SO_67_84;SO_84_100;SF_0_17;SF_17_34;SF_34_50;SF_50_67;SF_67_84;SF_84_100;MO_0_17;MO_17_34;MO_34_50;MO_50_67;MO_67_84;MO_84_100
153997343;8;0.2;0.12;0.12;0.12;0.2;0.12;0.12;0.08;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0.12;0;0;0;0;0;0.12;0;0;0;0;0;0;0.12;0.08;0;0;0;0;0;0.12
299873;6;0.17;0.28;0.17;0.17;0;0.17;0.17;0;0;0;0;0;0;0.17;0;0;0.11;0;0;0;0;0.17;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17
53652362;6;0.17;0.39;0;0.34;0;0;0.17;0;0;0;0;0;0;0.17;0;0.11;0.11;0;0;0;0;0;0;0;0;0;0;0.17;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
154640530;11;0.09;0.39;0;0.21;0;0.09;0.09;0;0;0;0;0;0;0.09;0.12;0.06;0.06;0.06;0;0;0;0;0;0;0;0.09;0;0.03;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0.09
6175988;6;0.17;0.17;0.17;0.17;0;0.17;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0.17
54696262;7;0.14;0.52;0.14;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0.1;0.14;0.14;0;0;0;0;0;0;0.14;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
10127158;10;0.1;0.37;0.3;0.1;0;0.1;0.1;0;0;0;0;0;0;0.2;0;0;0.1;0.07;0;0;0.1;0.2;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0.1
154472215;12;0;0.32;0.16;0.32;0.08;0;0;0;0;0;0;0;0.16;0.08;0.08;0;0;0;0;0.08;0;0.08;0;0;0;0;0;0.14;0.12;0.06;0;0;0;0;0;0.08;0;0;0;0;0;0
195282560;11;0.09;0.09;0.15;0.09;0.36;0.09;0.09;0;0;0;0;0;0;0.09;0;0;0;0;0;0;0.15;0;0;0;0;0.09;0;0;0;0;0;0;0;0.18;0.12;0.06;0;0;0;0;0;0.09
19394306;8;0.12;0.2;0.24;0.24;0;0.12;0.12;0;0;0;0;0;0;0.12;0;0.08;0;0;0;0;0.12;0;0.12;0;0;0;0;0.12;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0.12
