s2orc_paper_id;writing_score
117179682;2:3,1:3,2:3,2:2,4:3,4:3,5:2,2:1,4:3,6:3,
16880444;2:3,2:3,2:2,3:3,3:2,4:3,4:3,5:3,6:3,
17436911;1:3,2:2,2:3,3:3,5:3,2:2,6:3,
119149508;1:3,2:2,3:3,4:2,0:1,5:3,5:3,6:3,2:2,2:2,6:3,
17352760;1:3,2:3,4:2,5:2,6:3,0:1,0:1,0:1,2:3,0:1,4:3,
214713844;2:2,2:2,3:3,2:2,2:2,0:1,0:1,0:1,0:1,6:3,6:3,0:1,0:1,
26479450;2:3,0:1,3:3,2:2,4:3,4:2,6:2,
117486692;1:3,2:3,3:3,4:3,4:3,5:3,5:3,5:3,6:3,
53421490;3:2,2:2,2:2,6:3,
43176051;1:3,2:3,0:1,0:1,0:1,4:3,
55880054;1:3,2:3,0:1,0:2,2:3,2:2,3:3,6:3,
54198151;1:3,0:1,0:1,2:3,3:2,4:3,2:2,0:1,2:2,4:3,4:2,
15702788;2:3,3:3,2:2,4:3,5:3,2:2,6:3,
15800918;2:3,2:2,3:3,4:1,4:1,2:2,5:1,5:2,5:3,5:1,
119606665;1:1,3:3,3:3,2:2,4:2,2:2,6:3,
333785;1:3,2:3,2:2,2:2,3:3,4:3,4:2,6:2,6:3,
16185702;1:3,0:1,2:3,2:2,3:3,2:2,4:3,4:3,4:3,6:3,
653984;1:3,1:2,2:3,2:3,3:3,3:2,
119672239;2:3,4:3,2:2,2:2,4:3,6:3,4:2,4:2,4:2,2:2,6:3,4:2,2:2,2:3,4:2,0:1,2:2,6:3,4:2,2:2,2:3,0:1,4:3,
14726071;1:3,2:3,4:3,2:2,2:2,0:1,4:2,
15357288;3:3,4:3,2:3,4:1,0:1,0:1,4:3,5:3,5:3,5:2,2:2,5:2,5:1,5:1,6:3,6:2,
282895;1:3,2:3,3:3,4:3,2:2,2:2,2:2,2:1,3:3,4:3,6:3,
119153874;1:3,0:1,2:2,4:3,0:1,0:1,0:1,0:1,0:1,2:2,0:1,4:2,0:1,5:3,5:3,5:2,6:2,
119316211;2:3,2:3,2:3,2:2,2:2,4:3,4:3,4:2,
119636902;2:3,1:3,4:2,4:2,4:2,2:3,2:3,2:3,2:2,2:2,2:2,0:1,2:3,3:3,3:3,4:3,
50165568;2:3,2:3,4:3,5:2,3:3,5:2,6:3,0:1,
17528747;2:3,4:3,6:3,6:3,6:3,6:2,
50560774;4:3,2:2,2:2,2:2,4:1,6:3,5:3,6:3,0:1,
11062869;1:3,2:3,2:2,3:2,4:3,0:1,0:1,6:3,
119663968;1:3,2:3,3:3,4:3,6:3,2:2,2:2,2:2,6:3,
17315153;2:3,0:1,2:3,2:3,3:3,4:3,0:1,0:1,0:1,0:1,0:1,
17603950;2:3,2:3,5:3,5:3,3:3,5:2,2:2,
207046;2:3,2:3,0:1,0:1,2:2,4:3,2:2,2:2,4:2,4:3,0:1,
18385766;2:3,3:3,4:3,4:3,2:2,2:2,6:3,
3111468;1:3,2:2,2:3,4:3,6:2,2:2,4:2,2:2,5:3,0:1,0:1,0:1,
15600972;1:3,2:3,2:3,2:2,3:3,3:3,3:3,2:2,4:3,5:2,6:3,
119622800;2:3,4:3,4:3,2:2,2:2,6:3,
15181023;2:3,4:3,2:2,3:3,4:2,5:2,
9607021;2:2,2:2,2:3,2:3,3:3,2:3,2:3,2:3,2:3,3:3,6:3,
17526454;0:1,2:3,2:2,2:3,2:2,0:1,6:3,6:3,
15098708;1:3,2:2,2:2,2:1,2:2,2:2,3:3,4:3,2:1,2:1,2:1,2:2,2:2,6:3,6:2,6:1,6:2,6:2,
119314515;2:3,2:3,3:3,2:3,4:3,4:3,6:3,5:3,2:2,
17510275;1:3,4:3,2:2,3:3,1:1,5:2,5:2,6:3,6:3,
122483364;2:2,2:2,2:2,2:3,2:1,2:1,2:1,2:2,3:2,6:3,
18703841;1:3,3:3,2:2,2:2,4:3,4:3,2:2,5:3,6:3,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,
1354851;1:3,2:3,3:3,0:1,2:2,2:2,2:2,2:2,4:3,6:3,
15700341;2:3,2:3,3:3,5:2,3:3,0:1,
202712678;0:1,0:1,0:2,4:3,2:2,4:3,0:2,
7360997;2:3,2:2,2:2,3:3,4:3,4:2,2:2,6:3,0:1,0:1,0:1,0:1,
