s2orc_paper_id;writing_score
34414608;1:3,2:2,2:3,2:2,2:2,4:3,
1708776;2:3,2:3,2:3,2:3,3:2,5:3,
1649814;1:3,2:3,2:2,2:2,2:3,3:3,
14100385;1:3,2:3,2:3,2:3,4:3,4:3,5:3,
15702788;2:3,3:3,2:2,4:3,5:3,6:2,6:3,
27685094;1:3,2:3,4:2,3:3,6:3,6:2,
691276;1:3,2:3,2:3,3:3,2:3,2:2,4:3,5:3,
6841230;1:3,2:3,3:3,2:2,3:3,4:3,4:3,
8274124;1:2,2:3,3:3,4:3,2:2,2:2,4:3,
7036151;1:3,2:3,2:2,3:3,3:2,4:3,
207709612;2:3,4:3,2:3,2:2,4:3,2:2,
2412759;1:3,2:3,2:2,2:2,2:2,2:3,3:3,
72940656;1:3,2:3,2:3,2:2,2:2,2:1,2:2,4:3,
10316337;2:3,2:2,2:1,2:1,2:1,4:3,
2490155;1:3,2:3,2:2,2:2,2:2,2:1,4:3,2:2,
97543156;1:3,2:3,2:2,2:1,2:1,2:1,0:1,
95158;1:2,3:3,3:3,4:3,4:3,2:2,
3222139;1:3,2:3,2:2,2:2,2:1,2:1,
3833496;0:1,2:3,2:2,2:3,2:3,1:3,4:3,
4117281;1:3,2:2,2:3,3:3,2:2,4:3,
15011797;1:3,2:3,2:3,3:3,4:3,5:3,
10716051;1:3,2:3,2:2,2:2,3:3,4:3,
16789028;2:3,3:3,2:2,2:2,5:3,2:2,6:2,
21702619;1:3,2:2,2:2,3:3,3:3,6:3,
51602176;1:3,2:3,2:3,2:3,2:3,3:2,6:3,
7326472;1:3,2:3,2:3,2:3,2:3,2:2,4:2,
24466052;2:3,2:2,2:3,2:3,2:3,2:3,2:2,2:2,
43923085;1:3,2:3,2:2,2:2,2:2,2:1,4:3,
3429309;1:3,2:3,2:3,2:3,2:3,6:2,5:3,5:3,
18335403;1:3,2:3,2:2,3:3,3:3,4:3,
42190049;1:3,2:3,2:3,2:3,3:3,2:3,4:3,
21251987;1:3,2:3,2:3,3:3,3:2,4:3,
16139557;1:3,2:3,2:2,2:3,2:3,2:2,
57013158;1:3,2:3,2:1,2:2,2:2,3:3,6:3,5:1,0:1,
15040998;1:2,2:3,2:3,3:3,2:2,3:3,4:3,
4373754;2:2,3:2,4:3,2:3,4:3,4:2,
62878916;2:3,2:3,2:3,2:3,2:3,2:2,
52821270;1:3,2:3,2:2,2:3,3:3,4:3,
14672579;1:3,2:2,3:3,2:2,2:2,4:3,
15993159;1:1,2:3,2:3,3:3,3:2,4:2,4:2,4:3,2:2,4:3,
16624904;1:3,2:3,2:3,2:3,2:2,2:2,4:3,
10521748;1:3,2:3,3:3,2:2,2:2,4:3,
4939985;2:3,2:3,2:3,2:3,3:3,4:3,5:3,
34944152;1:3,2:3,2:3,2:2,3:3,3:3,3:2,4:3,4:2,4:2,5:3,5:3,6:3,
210165944;1:3,2:3,2:3,3:3,3:2,2:2,4:3,
9959026;1:3,3:3,2:3,2:3,3:3,4:3,4:2,0:1,0:1,0:1,0:1,
199442574;1:3,2:3,2:3,3:3,4:3,4:2,4:2,6:3,
54569154;1:3,2:2,2:2,4:3,2:2,2:2,
4460387;0:1,0:1,0:1,0:1,0:1,0:1,
7917641;1:3,2:3,2:2,2:2,3:3,4:2,4:3,4:1,6:3,
206372071;1:3,2:3,3:3,3:3,2:3,2:3,3:3,4:3,
209426675;1:3,2:3,2:3,2:2,2:2,4:3,5:3,
3830696;1:2,2:3,2:3,2:3,2:2,4:3,
16665989;1:3,2:3,2:3,2:3,4:3,
24679501;2:3,1:2,5:3,3:2,5:2,3:3,
16450964;2:3,2:3,2:3,3:2,2:3,5:3,
211085134;1:3,2:3,2:3,2:3,2:3,4:3,
212971;2:3,2:3,2:2,2:2,3:2,3:1,4:3,
6326622;1:3,2:3,2:2,2:3,3:3,4:3,
24437177;1:3,2:3,3:3,2:2,3:3,4:3,
54471099;1:3,2:3,2:3,4:3,5:3,5:3,3:3,6:3,
13080740;1:3,2:3,2:3,2:2,2:2,4:3,
8112868;2:3,3:3,3:2,2:2,4:3,0:1,0:1,0:1,0:1,0:1,0:1,0:1,
52945037;1:3,2:3,2:2,2:3,2:2,3:3,4:3,
85494992;2:3,2:2,4:3,2:2,0:1,2:2,5:3,
3039150;1:1,2:2,2:1,2:2,2:2,2:2,4:3,
46818267;1:3,2:3,2:3,2:2,3:3,3:3,4:3,4:2,
11349921;0:1,0:1,0:1,0:1,0:1,4:3,
16714023;1:3,2:3,2:3,2:2,2:2,2:3,
664357;1:3,3:3,2:3,2:2,3:3,2:3,2:3,4:3,5:2,5:2,5:2,6:2,6:2,
2818133;1:3,2:3,3:3,2:2,2:2,2:2,3:2,5:3,
3822623;1:3,2:2,1:1,2:3,2:2,4:3,
8309389;0:1,0:1,0:1,0:1,0:1,0:1,4:3,
10992026;2:3,2:3,3:3,2:2,2:2,4:3,
43372036;1:3,2:3,2:3,3:3,2:2,6:3,
1216155;1:3,2:2,2:2,2:2,3:3,3:3,2:2,6:3,
6752708;1:3,3:3,4:3,6:3,2:2,2:3,2:3,
19082709;1:3,2:3,3:3,4:3,2:2,0:1,
52175983;2:3,2:3,2:3,2:3,2:3,2:2,4:3,
17781968;1:3,2:3,2:3,2:2,4:3,2:2,2:2,4:3,4:3,
9681191;1:3,2:2,2:2,5:1,2:1,4:3,
52842534;1:3,2:3,2:3,2:3,2:3,3:3,
2630803;1:3,2:3,2:2,2:3,3:3,2:2,
13004222;0:1,0:1,0:1,0:1,0:1,0:1,
23119992;2:2,2:3,2:1,2:2,2:1,3:3,4:3,
14839843;1:3,2:3,4:3,2:3,2:3,2:3,4:3,
4052881;1:3,2:3,2:3,2:2,2:2,2:1,1:3,3:3,4:3,4:3,4:3,4:3,5:3,
1200206;1:3,2:2,2:3,2:2,3:3,2:3,2:2,2:1,2:2,2:1,4:3,
51877955;1:3,3:3,4:3,0:1,0:1,6:3,
9963387;2:3,4:3,4:3,2:2,3:3,5:3,5:3,2:2,4:2,
71080883;1:3,3:3,2:3,2:2,2:3,4:3,
40795435;0:1,0:1,0:1,4:3,0:1,0:1,0:1,
202745116;1:3,2:3,2:3,2:3,2:3,3:3,3:2,4:3,4:2,4:3,4:2,4:3,6:3,
17470108;1:3,2:3,2:3,2:2,2:2,4:3,
207611347;2:3,2:3,2:3,2:3,2:2,2:3,2:3,5:3,
28842066;1:3,2:3,2:2,2:2,2:2,2:2,6:3,
35554722;1:3,2:3,2:2,2:2,2:2,4:3,
15395229;1:3,3:3,2:3,2:3,2:3,2:3,2:2,2:2,2:2,2:2,2:2,
9109962;1:3,4:3,2:3,2:2,2:1,6:3,6:3,6:3,6:3,
61153365;1:3,2:3,2:3,2:3,2:2,3:3,3:3,4:3,4:3,
12976076;2:3,2:2,2:3,2:3,1:2,4:3,
6455117;1:3,4:3,2:2,2:3,2:1,2:1,2:2,2:2,2:2,
9019146;1:3,2:3,2:2,2:2,2:3,3:3,3:3,4:3,
33501715;0:1,0:1,0:1,0:1,1:3,4:2,4:2,4:2,4:2,
41655132;1:3,2:3,2:3,2:3,4:3,2:2,
208166070;1:3,2:2,2:3,2:2,2:2,4:3,
22650447;2:3,2:3,2:3,2:3,2:2,4:3,
10944854;1:3,2:3,2:3,2:2,3:3,4:3,
54017507;1:3,2:3,2:2,2:2,3:3,4:3,
42138945;0:1,0:1,0:1,0:1,0:1,0:1,
6511783;1:3,2:3,2:2,2:2,3:3,4:3,5:3,
859549;1:3,2:3,2:3,3:3,4:3,0:1,2:2,2:2,2:2,2:2,5:3,
14278364;1:3,2:3,2:3,2:2,4:3,
18356751;0:1,0:1,0:1,0:1,0:1,0:1,
15270840;2:3,2:2,2:1,0:1,3:3,4:3,
76346870;1:3,2:2,2:1,2:1,2:2,3:3,2:2,
51647101;1:3,2:3,2:2,2:3,2:2,3:2,
51922276;2:3,3:3,3:3,4:3,2:2,5:2,
22127599;1:3,2:2,2:3,3:3,3:2,4:3,4:3,
16317388;2:2,2:3,2:2,2:3,3:3,2:2,4:3,
29036078;1:3,2:3,2:2,2:2,2:2,4:3,
20245458;2:3,3:3,2:3,4:3,2:3,2:2,2:3,2:3,2:2,4:3,
16163687;0:1,4:3,0:1,2:2,0:1,
15667151;0:1,2:3,2:3,2:2,2:2,2:3,
73455248;1:3,2:3,2:2,2:2,2:3,3:3,
49664409;1:3,2:3,3:3,4:3,3:3,4:2,4:3,4:3,5:3,6:3,
28763051;1:3,2:2,2:2,2:2,2:3,3:3,5:2,
7053790;2:2,2:3,2:3,2:2,2:2,2:2,3:3,
21255819;0:1,0:1,0:1,0:1,0:1,
12282195;1:3,2:3,2:2,2:1,2:3,2:2,2:1,2:1,2:2,2:1,2:1,2:1,2:1,2:1,2:1,5:3,
14095229;1:3,2:3,2:2,2:3,2:3,0:1,
2871303;1:3,2:3,2:2,2:2,3:3,4:3,5:3,
6802142;2:3,2:3,3:3,2:3,2:2,3:3,
627133;1:3,2:2,2:3,2:2,2:2,2:3,2:2,2:2,4:3,
208006426;1:3,2:3,3:3,2:2,4:3,2:2,5:3,2:2,5:3,
211506998;1:3,2:3,2:3,3:3,6:3,2:2,4:1,
21486028;1:3,2:2,2:3,2:2,3:2,3:3,4:3,
16612363;0:1,2:3,2:3,2:3,4:2,0:1,4:3,
14161314;2:3,2:3,2:2,4:3,
25828910;1:3,2:3,2:3,3:3,4:3,4:3,
19654862;2:2,2:3,2:3,2:2,2:1,2:1,2:3,2:3,2:1,3:3,5:2,5:2,3:3,5:2,5:3,5:3,5:3,
8349745;1:3,2:3,2:2,2:3,2:3,2:3,2:2,2:2,4:3,
13662100;1:1,2:3,2:2,3:3,3:2,2:2,4:3,
1911481;1:3,2:3,3:3,4:3,4:3,0:1,
4962788;1:3,2:2,2:3,2:3,2:2,4:3,
7724306;1:3,2:3,3:2,2:3,2:3,4:3,
20768690;1:3,2:3,3:3,3:3,3:3,3:3,3:2,2:3,3:2,4:3,4:3,4:3,
