s2orc_paper_id;len_paragraph;IT;DB;ERQ;SO;SF;MO;IT_0_17;IT_17_34;IT_34_50;IT_50_67;IT_67_84;IT_84_100;DB_0_17;DB_17_34;DB_34_50;DB_50_67;DB_67_84;DB_84_100;ERQ_0_17;ERQ_17_34;ERQ_34_50;ERQ_50_67;ERQ_67_84;ERQ_84_100;SO_0_17;SO_17_34;SO_34_50;SO_50_67;SO_67_84;SO_84_100;SF_0_17;SF_17_34;SF_34_50;SF_50_67;SF_67_84;SF_84_100;MO_0_17;MO_17_34;MO_34_50;MO_50_67;MO_67_84;MO_84_100
34414608;6;0.17;0.5;0;0.17;0;0;0.17;0;0;0;0;0;0;0.11;0;0.28;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
1708776;6;0;0.68;0.11;0;0.17;0;0;0;0;0;0;0;0.17;0.17;0;0.34;0;0;0;0;0;0;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0
1649814;6;0.17;0.56;0.17;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0.22;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14100385;7;0.14;0.42;0;0.28;0.14;0;0.14;0;0;0;0;0;0;0.14;0.14;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0.14;0;0;0;0;0;0.14;0;0;0;0;0;0
15702788;6;0;0.28;0.17;0.17;0.17;0.11;0;0;0;0;0;0;0.17;0;0;0.11;0;0;0;0.17;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.11
691276;8;0.12;0.44;0.12;0.12;0.12;0;0.12;0;0;0;0;0;0;0.12;0.12;0.12;0.08;0;0;0;0;0.12;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0.12;0;0;0;0;0;0
6841230;7;0.14;0.24;0.28;0.28;0;0;0.14;0;0;0;0;0;0;0.14;0;0.1;0;0;0;0;0.14;0;0.14;0;0;0;0;0;0;0.28;0;0;0;0;0;0;0;0;0;0;0;0
8274124;7;0.1;0.34;0.14;0.28;0;0;0.1;0;0;0;0;0;0;0.14;0;0;0.1;0.1;0;0;0.14;0;0;0;0;0;0;0.14;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
7036151;6;0.17;0.28;0.28;0.17;0;0;0.17;0;0;0;0;0;0;0.17;0;0.11;0;0;0;0;0;0.17;0.11;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
2412759;7;0.14;0.58;0.14;0;0;0;0.14;0;0;0;0;0;0;0.14;0.1;0.1;0.1;0.14;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72940656;8;0.12;0.52;0;0.12;0;0;0.12;0;0;0;0;0;0;0.12;0.12;0.16;0.04;0.08;0;0;0;0;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0
2490155;8;0.12;0.48;0;0.12;0;0;0.12;0;0;0;0;0;0;0.12;0.08;0.16;0.04;0.08;0;0;0;0;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0
95158;6;0.11;0.11;0.34;0.34;0;0;0.11;0;0;0;0;0;0;0;0;0;0;0.11;0;0.17;0;0.17;0;0;0;0;0;0.17;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0
3833496;7;0.14;0.52;0;0.14;0;0;0;0;0;0;0;0.14;0;0.14;0.1;0.14;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
4117281;6;0.17;0.39;0.17;0.17;0;0;0.17;0;0;0;0;0;0;0.11;0;0.17;0.11;0;0;0;0;0.17;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
15011797;6;0.17;0.34;0.17;0.17;0.17;0;0.17;0;0;0;0;0;0;0.17;0;0.17;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0
10716051;6;0.17;0.39;0.17;0.17;0;0;0.17;0;0;0;0;0;0;0.17;0;0.22;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
16789028;7;0;0.44;0.14;0;0.14;0.1;0;0;0;0;0;0;0.14;0;0.1;0.1;0;0.1;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0.1
21702619;6;0.17;0.22;0.34;0;0;0.17;0.17;0;0;0;0;0;0;0.11;0;0.11;0;0;0;0;0;0.17;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17
51602176;7;0.14;0.56;0.1;0;0;0.14;0.14;0;0;0;0;0;0;0.14;0.14;0.14;0.14;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14
7326472;7;0.14;0.66;0;0.1;0;0;0.14;0;0;0;0;0;0;0.14;0.14;0.14;0.14;0.1;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0
43923085;7;0.14;0.49;0;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0.1;0.1;0.1;0.05;0;0;0;0;0;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
3429309;6;0.17;0.68;0;0;0;0.11;0.17;0;0;0;0;0;0;0.17;0;0.34;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.11
18335403;6;0.17;0.28;0.34;0.17;0;0;0.17;0;0;0;0;0;0;0.17;0;0.11;0;0;0;0;0;0.17;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
42190049;7;0.14;0.56;0.14;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0.14;0.14;0;0.14;0;0;0;0;0.14;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
21251987;6;0.17;0.34;0.28;0.17;0;0;0.17;0;0;0;0;0;0;0.17;0;0.17;0;0;0;0;0;0.17;0.11;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
57013158;7;0.14;0.39;0.14;0;0;0.14;0.14;0;0;0;0;0;0;0.14;0.05;0.1;0.1;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14
15040998;7;0.1;0.38;0.28;0.14;0;0;0.1;0;0;0;0;0;0;0.14;0.14;0;0.1;0;0;0;0;0.14;0;0.14;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
4373754;6;0;0.28;0.11;0.45;0;0;0;0;0;0;0;0;0.11;0;0;0.17;0;0;0;0.11;0;0;0;0;0;0;0;0.17;0.17;0.11;0;0;0;0;0;0;0;0;0;0;0;0
52821270;6;0.17;0.45;0.17;0.17;0;0;0.17;0;0;0;0;0;0;0.17;0;0.28;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
14672579;6;0.17;0.33;0.17;0.17;0;0;0.17;0;0;0;0;0;0;0.11;0;0.11;0.11;0;0;0;0;0.17;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
15993159;10;0.03;0.27;0.17;0.34;0;0;0.03;0;0;0;0;0;0;0.2;0;0;0;0.07;0;0;0.1;0.07;0;0;0;0;0;0.07;0.17;0.1;0;0;0;0;0;0;0;0;0;0;0;0
16624904;7;0.14;0.62;0;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0.14;0.14;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
10521748;6;0.17;0.39;0.17;0.17;0;0;0.17;0;0;0;0;0;0;0.17;0;0.11;0.11;0;0;0;0;0.17;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0
4939985;7;0;0.56;0.14;0.14;0.14;0;0;0;0;0;0;0;0.14;0.14;0.14;0.14;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0.14;0;0;0;0;0;0.14;0;0;0;0;0;0
34944152;13;0.08;0.21;0.21;0.18;0.16;0.08;0.08;0;0;0;0;0;0.08;0.13;0;0;0;0;0;0;0.16;0.05;0;0;0;0;0;0.08;0.1;0;0;0;0;0;0;0.16;0;0;0;0;0;0.08
210165944;7;0.14;0.38;0.24;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0.14;0;0;0.1;0;0;0;0.14;0.1;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
9959026;11;0.09;0.18;0.18;0.15;0;0;0.09;0;0;0;0;0;0;0.09;0.09;0;0;0;0;0.09;0.09;0;0;0;0;0;0;0.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199442574;8;0.12;0.24;0.12;0.28;0;0.12;0.12;0;0;0;0;0;0;0.12;0.12;0;0;0;0;0;0;0.12;0;0;0;0;0;0.12;0.08;0.08;0;0;0;0;0;0;0;0;0;0;0;0.12
