s2orc_paper_id;writing_score
119149508;1:3,2:2,3:3,4:2,0:1,5:2,5:3,2:2,6:1,0:1,6:3,
119182468;1:3,2:3,3:3,2:2,4:3,4:3,6:3,
43176051;1:3,2:3,0:1,0:1,0:1,2:2,3:3,
53338509;1:3,2:3,2:3,3:3,4:3,2:2,4:3,6:3,
56317105;1:3,2:3,2:3,2:2,3:3,6:3,
27685094;1:3,2:3,4:2,3:2,6:3,6:3,
17145762;1:3,2:3,2:3,2:3,2:2,4:3,6:3,
122421328;1:3,2:2,2:2,2:2,2:3,2:3,4:3,
14726071;1:3,2:3,4:3,2:2,2:2,2:2,3:3,
119153874;1:3,2:2,3:3,4:3,0:1,0:1,0:1,0:1,0:1,2:3,0:1,5:3,5:2,5:3,5:2,5:2,6:3,
118438457;2:3,3:3,3:2,4:3,2:2,6:3,
17388008;1:3,2:3,2:2,2:2,2:2,3:3,4:3,6:3,0:1,
14908326;1:3,2:3,3:3,2:2,6:3,6:2,6:2,5:3,
15600972;1:3,2:3,2:3,2:3,3:3,3:3,3:3,2:3,4:3,4:2,6:3,
119254963;2:3,4:3,3:2,3:3,3:2,0:1,0:1,6:3,2:3,
33110824;1:1,0:1,2:3,2:3,4:3,0:1,4:3,6:3,
15098708;1:3,2:3,2:2,2:1,2:2,2:2,3:3,4:3,4:1,4:1,4:1,2:1,6:3,6:3,6:2,6:3,6:3,
40987390;1:3,2:3,2:3,3:3,2:3,3:3,4:3,
15458349;2:3,2:3,3:3,2:3,4:3,3:2,6:3,
18703841;1:3,2:3,2:3,2:3,3:3,4:3,5:2,5:1,6:3,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,
1354851;1:3,2:3,3:3,0:1,2:3,2:2,2:2,4:3,6:3,
119224078;1:3,2:3,3:3,2:3,2:3,6:3,
119191120;2:3,2:3,3:2,2:3,2:3,4:2,4:3,5:2,5:3,
202712678;2:3,2:3,4:3,4:3,4:3,4:3,6:2,
16871296;2:3,2:3,2:2,2:2,2:1,4:3,
67837589;2:3,2:2,3:3,3:3,4:3,4:2,0:1,6:3,
118458495;1:3,2:3,3:3,2:3,3:3,2:2,4:3,
21702619;1:3,2:2,2:2,3:3,3:3,6:3,
10540115;1:3,2:3,2:3,4:3,2:2,6:2,4:3,5:3,0:1,
3567203;1:3,2:3,2:2,2:2,4:3,4:2,4:3,
17319523;1:3,2:3,2:3,6:3,4:3,6:3,
2959771;1:3,2:2,2:3,3:3,3:3,3:2,4:3,4:2,2:2,4:2,6:3,
119288480;2:3,2:3,2:3,2:2,3:3,4:3,
53386092;1:3,2:3,2:3,2:2,4:3,2:2,2:3,4:3,6:3,
118601391;1:3,3:3,6:3,5:3,2:2,2:1,
18331919;1:3,3:3,5:3,1:3,3:3,5:3,
54922976;1:3,2:3,2:2,2:2,2:2,4:3,
119315555;1:3,1:2,2:3,2:3,2:2,3:3,4:3,4:2,
119206866;1:3,2:3,2:3,2:3,6:3,0:1,0:1,0:1,0:1,0:1,0:1,4:3,
67846798;2:3,3:3,2:2,4:3,0:1,5:2,5:1,5:2,6:3,
43350618;1:3,0:1,2:3,3:3,4:3,6:3,
119176194;1:3,2:3,2:3,4:3,2:2,2:2,2:3,2:3,2:1,0:1,0:1,4:3,
57013158;1:3,2:3,0:1,2:2,2:3,4:3,6:3,5:1,0:1,
53414549;1:3,2:3,2:3,2:3,4:3,4:2,4:2,
15040998;1:3,2:3,2:2,2:3,5:3,5:3,6:3,
55945462;2:3,2:3,3:3,4:3,5:2,6:3,
9813424;1:3,2:3,2:3,3:3,3:3,4:2,4:2,4:2,5:2,2:2,5:3,
118640139;2:3,2:3,2:3,3:3,2:2,2:3,3:2,4:2,6:3,
122902609;0:1,0:1,0:1,0:1,0:1,0:1,4:3,0:1,6:3,
118405750;1:3,2:3,3:3,2:2,2:2,2:2,2:2,2:2,4:3,5:2,
119165950;1:3,2:3,3:2,2:3,2:2,6:1,
18220578;2:2,3:3,5:3,2:2,2:2,6:3,
16579816;1:3,2:3,2:3,3:3,4:3,4:3,0:1,4:3,3:2,0:1,0:1,0:1,6:3,5:3,
14212460;1:3,2:3,3:3,4:3,0:1,0:1,2:2,2:1,5:2,5:2,4:2,4:3,4:3,0:1,0:1,0:1,4:3,4:3,
118347706;1:3,2:2,4:3,2:3,2:2,4:3,6:3,
54720756;1:3,2:2,3:3,2:2,2:2,2:2,2:3,2:2,6:3,
53595417;1:1,1:2,2:2,2:3,2:2,2:2,4:3,6:2,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,
17594638;2:3,2:3,3:3,4:2,2:2,5:2,
119276707;1:3,2:2,4:3,0:1,2:2,4:3,6:3,5:2,0:1,
11704758;1:3,2:3,2:2,2:3,2:3,3:3,4:3,4:3,4:2,6:3,
93197647;1:3,2:3,2:3,2:2,2:3,2:2,4:3,2:2,4:3,
119302920;1:3,2:3,2:2,2:2,3:3,4:3,4:2,6:3,
173990972;2:3,2:2,2:3,2:3,2:3,3:2,
119356266;1:3,2:3,2:3,2:3,4:3,6:3,
84842910;2:3,2:2,2:2,2:3,2:3,3:3,2:3,4:3,
202130422;1:3,2:3,2:3,2:2,4:3,6:3,
208548595;1:3,2:3,2:3,4:3,2:1,2:1,6:2,2:1,2:3,2:1,2:1,2:1,2:1,2:1,2:1,2:1,2:1,2:1,6:2,2:2,2:1,2:1,4:3,2:1,2:1,2:1,2:1,2:1,1:2,4:2,2:2,2:1,2:1,4:1,
209324225;2:3,5:3,2:2,2:2,2:2,3:3,2:2,6:3,6:3,
208527520;1:3,2:3,3:3,2:2,4:3,4:2,5:3,6:3,
15361940;2:3,2:3,3:3,3:3,3:3,2:2,4:3,4:3,6:3,
199442574;1:3,2:3,2:2,3:3,4:3,4:2,4:2,6:3,
59038744;2:3,1:3,3:2,6:3,0:1,0:1,
186206930;1:3,2:3,2:2,4:3,3:3,6:3,
55064165;1:3,2:3,3:3,6:1,4:2,4:2,0:1,0:1,4:2,0:1,0:1,5:1,5:1,0:1,0:1,0:1,5:2,
6419564;1:3,4:3,2:3,2:3,2:3,2:2,4:2,6:3,4:2,4:2,
46048980;1:3,2:2,2:2,2:3,2:2,3:3,3:3,5:2,6:3,
119449377;2:3,2:3,2:3,2:2,2:1,3:3,
119275264;1:3,2:3,2:3,3:3,4:3,6:3,
118822383;2:3,2:3,2:3,2:3,2:3,3:3,3:3,2:2,2:2,4:3,6:3,
4798542;1:3,2:3,2:2,4:2,2:2,6:3,
119711964;1:3,2:3,2:2,3:3,2:2,4:3,4:2,6:2,2:1,0:1,0:1,0:1,0:1,0:2,0:1,0:1,0:1,0:1,0:1,0:1,
116485664;2:1,2:3,2:2,2:2,2:2,3:3,3:3,4:3,4:3,6:2,5:2,5:1,
119369504;1:3,2:3,2:2,2:2,2:3,2:3,2:1,2:2,2:3,2:1,2:2,2:2,6:3,4:3,6:3,6:2,
118380112;1:3,2:3,3:3,6:3,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,
919535;1:3,2:2,2:3,4:3,2:2,2:1,5:3,4:2,4:1,0:1,0:1,
2849175;2:3,3:3,2:2,4:3,4:2,6:3,
56102203;2:3,2:2,3:3,4:3,5:3,
208075802;1:3,2:3,2:2,2:3,2:3,3:3,2:2,4:3,4:3,6:3,6:3,6:3,
204734556;1:3,2:3,2:2,3:3,3:2,4:3,
46818267;1:3,2:3,2:2,2:2,2:2,3:3,4:3,4:2,
119436091;1:3,2:3,4:3,4:3,3:3,6:3,
119731656;1:3,2:3,2:2,4:3,2:2,6:3,0:1,0:1,0:1,0:1,0:1,0:1,0:1,
119096212;1:3,2:3,2:3,3:3,2:2,4:3,6:3,
17169132;1:3,2:3,2:3,4:3,4:3,2:2,6:2,
73612683;1:3,2:3,0:1,2:2,0:1,0:1,0:1,0:1,0:1,0:1,4:2,5:2,5:3,
15254945;2:3,2:3,3:3,2:2,3:3,3:2,4:3,
115155570;2:2,2:3,2:1,2:2,2:2,0:1,2:2,3:1,4:1,4:1,5:2,6:2,
54873136;1:3,2:3,2:3,2:3,4:3,6:3,
122815410;2:3,2:2,3:2,4:1,4:1,4:2,
19082709;1:3,2:2,3:3,4:2,2:2,6:1,
119075674;1:3,2:3,2:3,3:3,3:3,5:3,
119163756;1:3,2:3,4:2,4:2,3:3,0:1,4:2,6:3,
17102106;1:3,2:3,2:3,2:3,4:3,4:3,0:3,0:3,0:3,0:3,0:3,0:3,0:3,
14120743;1:3,2:3,2:2,3:3,4:2,4:2,0:1,6:3,
119238531;2:3,2:2,2:3,2:2,2:2,2:2,3:2,4:3,4:3,6:3,
13952386;2:3,2:2,2:2,2:2,4:3,6:3,
51877955;1:3,2:3,4:3,0:1,0:1,6:3,
7534356;1:3,3:2,4:1,1:3,2:2,2:2,5:2,2:2,2:2,
121678522;2:3,2:3,2:2,2:2,3:3,4:3,
10042854;0:1,3:3,5:3,0:1,2:2,0:1,5:2,0:1,6:3,0:1,0:1,0:1,0:1,5:2,4:3,0:1,6:3,
195657869;1:3,0:1,0:1,0:1,0:1,0:1,2:2,0:1,0:1,2:3,2:3,2:3,0:1,2:2,4:2,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,0:1,
55289661;2:3,2:2,4:3,4:3,6:3,6:3,2:2,
115130636;1:3,3:3,2:3,4:2,3:3,4:3,6:3,6:2,0:1,
195069182;1:3,2:3,2:3,2:2,4:3,6:3,
40795435;0:1,0:1,0:1,4:3,5:3,5:3,5:3,
118811681;1:3,2:3,2:3,2:3,1:2,2:3,2:3,4:3,
44719735;0:1,0:1,0:1,0:1,0:1,0:1,
9443166;2:3,2:3,2:3,3:3,1:3,2:3,4:3,6:3,
51729295;1:3,2:3,2:3,2:2,2:2,5:3,3:3,
122455548;1:3,2:3,3:3,2:2,2:2,2:2,2:2,2:2,2:2,2:2,2:2,
118306110;1:3,2:3,2:3,4:3,4:2,4:2,4:2,
202889265;1:3,2:2,3:2,2:2,3:3,2:3,6:3,
119262440;0:1,0:1,0:1,0:1,0:1,0:1,0:1,
119246191;2:2,2:2,2:2,2:2,4:3,4:3,4:3,4:2,4:2,6:3,
