s2orc_paper_id;len_paragraph;IT;DB;ERQ;SO;SF;MO;IT_0_17;IT_17_34;IT_34_50;IT_50_67;IT_67_84;IT_84_100;DB_0_17;DB_17_34;DB_34_50;DB_50_67;DB_67_84;DB_84_100;ERQ_0_17;ERQ_17_34;ERQ_34_50;ERQ_50_67;ERQ_67_84;ERQ_84_100;SO_0_17;SO_17_34;SO_34_50;SO_50_67;SO_67_84;SO_84_100;SF_0_17;SF_17_34;SF_34_50;SF_50_67;SF_67_84;SF_84_100;MO_0_17;MO_17_34;MO_34_50;MO_50_67;MO_67_84;MO_84_100
119149508;9;0.11;0.14;0.11;0.07;0.18;0.04;0.11;0;0;0;0;0;0;0.07;0;0;0;0.07;0;0.11;0;0;0;0;0;0;0.07;0;0;0;0;0;0;0.07;0.11;0;0;0;0;0;0;0.04
119182468;7;0.14;0.24;0.14;0.28;0;0.14;0.14;0;0;0;0;0;0;0.14;0;0.1;0;0;0;0;0.14;0;0;0;0;0;0;0;0.14;0.14;0;0;0;0;0;0;0;0;0;0;0;0.14
43176051;7;0.14;0.24;0.14;0;0;0;0.14;0;0;0;0;0;0;0.14;0;0;0;0.1;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53338509;8;0.12;0.32;0.12;0.24;0;0.12;0.12;0;0;0;0;0;0;0.12;0.12;0;0.08;0;0;0;0;0.12;0;0;0;0;0;0.12;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0.12
56317105;6;0.17;0.45;0.17;0;0;0.17;0.17;0;0;0;0;0;0;0.17;0;0.28;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17
17145762;7;0.14;0.52;0;0.14;0;0.14;0.14;0;0;0;0;0;0;0.14;0.14;0.14;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0.14
122421328;7;0.14;0.58;0;0.14;0;0;0.14;0;0;0;0;0;0;0.1;0.1;0.1;0.14;0.14;0;0;0;0;0;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
14726071;7;0.14;0.44;0.14;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0;0.1;0.1;0.1;0;0;0;0;0;0.14;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119153874;17;0.06;0.1;0.06;0.06;0.24;0.06;0.06;0;0;0;0;0;0.04;0;0;0.06;0;0;0;0.06;0;0;0;0;0;0.06;0;0;0;0;0;0;0;0;0.16;0.08;0;0;0;0;0;0.06
118438457;6;0;0.28;0.28;0.17;0;0.17;0;0;0;0;0;0;0.17;0;0;0;0.11;0;0;0.17;0;0.11;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17
17388008;8;0.12;0.36;0.12;0.12;0;0.12;0.12;0;0;0;0;0;0;0.12;0.08;0.16;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0.12
15600972;11;0.09;0.36;0.27;0.15;0;0.09;0.09;0;0;0;0;0;0;0.18;0.09;0;0.09;0;0;0;0.09;0.18;0;0;0;0;0;0;0.09;0.06;0;0;0;0;0;0;0;0;0;0;0;0.09
119254963;8;0;0.12;0.28;0.12;0;0.12;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0.08;0.2;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12
33110824;8;0.04;0.24;0;0.24;0;0.12;0.04;0;0;0;0;0;0;0;0.12;0.12;0;0;0;0;0;0;0;0;0;0;0;0.12;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0.12
15098708;13;0.08;0.29;0.08;0.17;0;0.08;0.08;0;0;0;0;0;0.08;0.08;0.1;0;0;0.03;0;0;0;0.08;0;0;0;0;0;0.08;0.06;0.03;0;0;0;0;0;0;0;0;0;0;0;0.08
40987390;7;0.14;0.42;0.28;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0.14;0;0.14;0;0;0;0;0.14;0;0.14;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
15458349;7;0;0.42;0.24;0.14;0;0.14;0;0;0;0;0;0;0.14;0.14;0;0.14;0;0;0;0;0.14;0;0;0.1;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0.14
18703841;9;0.11;0.33;0.11;0.11;0.11;0.11;0.11;0;0;0;0;0;0;0.22;0.11;0;0;0;0;0;0;0.11;0;0;0;0;0;0.11;0;0;0;0;0;0;0.07;0.04;0;0;0;0;0;0.11
1354851;9;0.11;0.36;0.11;0.11;0;0.11;0.11;0;0;0;0;0;0;0.11;0;0.18;0.07;0;0;0.11;0;0;0;0;0;0;0;0;0;0.11;0;0;0;0;0;0;0;0;0;0;0;0.11
119224078;6;0.17;0.51;0.17;0;0;0.17;0.17;0;0;0;0;0;0;0.17;0;0.17;0.17;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17
119191120;9;0;0.44;0.07;0.18;0.18;0;0;0;0;0;0;0;0.11;0.11;0.11;0.11;0;0;0;0.07;0;0;0;0;0;0;0;0.07;0.11;0;0;0;0;0;0;0.18;0;0;0;0;0;0
202712678;7;0;0.28;0;0.56;0;0.1;0;0;0;0;0;0;0.14;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0.14;0.14;0.14;0;0;0;0;0;0;0;0;0;0;0;0.1
67837589;8;0;0.2;0.24;0.2;0;0.12;0;0;0;0;0;0;0.12;0.08;0;0;0;0;0;0;0.12;0.12;0;0;0;0;0;0.12;0.08;0;0;0;0;0;0;0;0;0;0;0;0;0.12
118458495;7;0.14;0.38;0.28;0.14;0;0;0.14;0;0;0;0;0;0;0.14;0;0.14;0;0.1;0;0;0.14;0;0.14;0;0;0;0;0;0;0.14;0;0;0;0;0;0;0;0;0;0;0;0
21702619;6;0.17;0.22;0.34;0;0;0.17;0.17;0;0;0;0;0;0;0.11;0;0.11;0;0;0;0;0;0.17;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17
