s2orc_paper_id;mag_id;journal_id;journal_cc
34414608;349767835;2764971142;31484
1708776;1480729583;136745531;19378
201059539;1523394679;86809486;116547
14100385;1533800505;60030702;489275
91584513;1965365096;126920787;42916
691276;1971842233;164906323;38242
54956439;1978875564;108887460;38591
95158;2095710148;19068271;14397
3833496;2111792327;205231332;1790391
15011797;2116017346;192056284;28070
35106034;2137539845;174657117;12364
51602176;2138263436;2734515570;88126
5595192;2141713902;202381698;5618654
42190049;2530538140;169236886;311387
15660162;2907617928;189140625;186735
14672579;2962988134;51811661;15347
15993159;2963162652;171842551;102718
10521748;2963239505;2764373995;6469
4939985;2963337715;1029370695;1303
59466237;2965822216;201224749;45171
13080740;3014979169;1382107;102117
210165944;3028436299;40813394;59587
53516695;2604983075;2764664775;22954
9959026;2087335960;2876017;288580
3830696;1985071767;2493627025;46229
16665989;2169505290;57552105;757346
16450964;2253119352;201921491;601340
208526488;2147000782;173884034;51412
212971;2133920106;44585919;121801
41206100;2059411043;25671836;481866
8112868;1993190166;44425019;2338361
52945037;2896390128;115201632;127262
54174159;1980535542;33892871;711405
3039150;2026890848;101949793;431319
18266248;571227616;39273986;8939
58940091;2025237473;207178839;5016394
2818133;3005401190;177430994;129040
1216155;2928295237;170067410;130365
18791575;2034115303;126796143;64353
55636497;2606505045;2736975137;747
52842534;2076387274;187585107;1398361
13004222;2985956590;195663288;2486617
14839843;2118507940;62159105;2003701
1200206;2003375498;202381698;5618654
82019242;2577578348;19557735;743
18080531;1843395103;195663288;2486617
17470108;1969197809;3006207977;1071860
9109962;2003907141;171842551;102718
12976076;2010989358;107361000;12700
41655132;2036135416;54953690;247562
85240646;2044021714;108845946;158548
10944854;2060414131;151639445;27296
42138945;2106174959;3006183880;842685
6511783;2135889103;52395412;1442288
859549;2136106887;928796702;136867
18356751;2158301184;2764470252;13330
22127599;2547363423;24332595;50853
16317388;2592760815;33096572;4641
85235621;2117908325;152000018;1291440
16163687;2584638120;106296714;445707
15667151;2803432986;8427965;32645
73455248;2808888682;2489169438;12470
44182571;2889019176;53865935;93756
14095229;2963484807;17807283;115981
2871303;2963982425;151639445;27296
155930153;2964056049;60324941;22053
21486028;3010865538;177770778;53357
86846039;3011044443;897311980;185527
55779898;3021336616;8500805;15588
16612363;3022953487;165454098;237413
85730989;2091819582;184446198;10549
8349745;2097531812;23873141;21367
88721688;2529454049;2504234566;7857
1911481;1963886393;61246407;53525
20768690;2519897196;56576676;7753
17306969;1995438696;99517592;339942
196629749;2085708372;86033158;321115
7908246;2143857994;99517592;339942
82210731;2138445791;98424699;191605
195439999;1557624408;178776955;1245854
13020169;2020184186;136634221;1004684
1465416;2550402943;195663288;2486617
139104644;2258233875;2764824912;1553
1387309;2041201825;2739058702;11134
51935893;1977638451;187585107;1398361
82219803;1971942877;41840296;7916
25386675;1988582839;196799759;787755
59337907;2972485811;1983995261;100472
22102625;2008814202;43893605;170024
4835859;2759345302;96743589;768872
84055181;2917305094;44285222;6174
22816398;2962772482;157921468;266844
25038937;2096086366;99517592;339942
159040754;2985143759;3006183880;842685
13602417;2115637469;32973720;245042
5239646;2030795241;34460812;208043
3201726;2056464302;182850260;92466
12632778;101718208;2764816760;5441
1622283;2026822123;50055314;140364
76665903;1568054587;116100596;140894
19968193;2138025056;32610980;740295
92454923;2155799639;19645890;40497
10344844;1508514148;172477885;38177
