s2orc_paper_id;mag_id;journal_id;journal_cc
153997343;2011896872;70935693;12004
299873;2018090882;85739584;113350
53652362;2018253264;79244937;590583
154640530;2068496814;103321696;827561
154965277;2118727028;85739584;113350
6175988;2119884887;165087003;69974
59153655;2133276644;73028643;21530
54696262;2145360866;139338987;137474
10127158;2161850370;6711363;270041
154472215;2165722001;198098467;212561
53622716;2235265174;62201805;165057
195282560;2256503782;73535193;218150
19394306;2086922847;3354691;29718
3475969;2093333858;149131268;266090
181525359;2946172734;2751751161;2996938
42489969;2963025906;16793705;14418
119172580;2963087091;92223472;22659
33075931;2979894627;87067389;79348
53453437;2999566775;177927073;6226
16035896;2088276877;36178057;199236
12683930;2125520845;2751751161;2996938
2364435;2141216910;156003414;4729
13902245;1972558036;184793761;33800
42834708;2099756572;152000018;1291440
46893061;1989905368;148307540;126271
14080011;2982327144;195663288;2486617
153359305;1582892904;140643119;23873
54737917;2611762587;175325897;3106
18298218;2015004135;127742747;437953
16940879;2059208633;44376543;41756
158637234;2746177720;2764782578;12121
37416527;2469682971;106296714;445707
3867980;2273917901;36178057;199236
53959460;1973950346;7424199;110053
154263383;1990496580;180492355;9421
59135235;1991460032;120253869;8383
15395229;1992999014;145200904;106337
53515348;2015708157;40212770;171790
53505092;2060560341;111381568;84503
49567452;2078590249;165087003;69974
10492285;2080984053;10747938;102241
16766088;2081503595;202934171;41719
55740625;2103055881;65932378;1259630
154840997;2115524094;17167983;21060
14586073;2128848246;101163346;5357
55875324;2134171436;60030702;489275
13674217;2156266242;206615888;89373
158960195;2161025315;2898222998;144347
111377534;2164760790;7291079;26677
55015614;2167039332;88920680;1900
16669352;2031902676;107631327;63669
56208750;2428980317;201533460;147761
31806071;2501396908;199447588;270432
45784419;2785324737;153470445;172125
43002576;2895547248;23408671;23342
62831163;2963142146;134585236;5391
154273358;2008258559;198892436;163226
53999118;2143702075;188431908;1435
17545763;2029577780;156716048;9198
15871817;2089445744;34139249;154345
54047019;1997648170;124453322;14998
1717177;2165946093;88935262;385314
154750023;2165055783;205231332;1790391
154992868;1504012520;73024538;8482
16088076;1964731456;207178839;5016394
9764295;2107935138;136612413;45178
3251050;2532908389;84409260;5490
17594773;2950529116;9051360;233131
195499574;2278727823;63322718;115949
155074884;2050674452;63726752;16809
16003538;2167188257;46058472;2362684
59018979;2078380490;2737493015;183
152625966;1848516232;155153587;16904
142608387;1577805012;62201805;165057
153704450;2037022403;99462834;266297
2885323;2148109689;130757258;4730
115130889;1965080949;173952182;1793782
17944988;1532289959;6775291;23501
18003842;1720183910;127742747;437953
20998528;1791765324;16530434;24830
15854756;1930478432;101209419;201002
53477188;1966851065;900338;32059
73671078;1968573655;79175213;23802
125022389;1975691193;62201805;165057
2132913;1985693490;133078663;13032
870704;2057354418;154637859;202031
73576012;2059728390;7424199;110053
1843919;2065153282;7424199;110053
43346721;2076212471;129650269;11831
53553860;2098630344;149709236;23186
41893634;2112098113;579031;50822
152657522;2117140689;141184754;70181
17233059;2135875145;199447588;270432
154835526;2141197266;176795851;28816
12449148;2160444588;149131268;266090
7193340;2168766289;102748110;25250
12821517;2171750123;149131268;266090
2121949;2245243822;101209419;201002
31951498;2274933424;95496512;21176
73537880;2281728022;172526255;32006
1911486;2272326844;76440981;82089
56337080;2369637050;70698675;105762
10931715;2537289337;80684715;15380
158655130;2765495961;136211407;327798
16761639;2784388390;2765036361;657
4803074;2797141056;7345157;13782
59180691;2889903444;179816892;24193
156516015;2963991550;185467048;653
14616478;2963995931;111381568;84503
202307251;2964132246;84705137;4177
54029976;3022864194;7424199;110053
109928994;2751679309;6711363;270041
156681278;2340193501;2764587561;1159
121213702;2165297205;99517592;339942
195888586;1908007089;59432305;7899
66240618;2058031961;45992627;458426
54796614;2169962896;124739764;4721
55950535;2610730210;201533460;147761
38309104;2330042422;126770807;264722
1556997;2154773430;54953690;247562
153730553;2044726214;128425624;1084013
39822579;2063072400;5043877;14123
151295349;177269636;76440981;82089
38910119;1979187733;121026525;31197
157382682;1987565144;108417319;380242
154583480;1988261496;100028386;15526
8392970;2015743153;44585919;121801
16630793;2030287809;10134376;207956
15648095;2036498947;151639445;27296
53525492;2073876300;60030702;489275
14028390;2081025461;131268793;96926
35113831;2085755657;62201805;165057
67825767;2089599156;4888523;77836
898183;2095259896;149131268;266090
31253510;2102730713;201221823;68862
276775;2155382660;45992627;458426
15807046;2155717646;159544283;215855
38104374;2158922831;75627377;6618
156745585;2161781612;4357572;33686
16223039;2245804097;182689569;39891
14257685;2107640102;18095783;138258
199290878;2489111682;106296714;445707
13970273;2543444616;10134376;207956
3497610;2555777994;19474917;12451
53356661;2595706178;83252788;14232
55724576;2636915585;175056054;530885
78208135;2884579005;18284184;43193
109931732;2962772544;89324355;74571
55757931;2963441604;141074886;46857
154725839;2982609339;66303039;4510
64265322;2989341556;185367456;118751
144031145;1984726804;62201805;165057
152564769;2742253602;2764780602;440
102969;834199794;94044085;108578
40438725;2091747790;159275680;74021
53398624;1970380184;117431132;36422
154476143;2133098147;2765032914;3171
111382841;2963972492;159544283;215855
7553290;2084348523;76633192;399624
4602728;1982421536;113570169;1762
55340427;2006444715;163499366;36623
211424210;2982690134;2737093457;73
52061721;2962862568;171172751;371095
154431409;1921177970;86125002;77953
199405229;2102392020;168522863;4062362
14595373;1535237424;10997704;7020
17971861;1560783279;145200904;106337
34705317;1953211229;193368155;52499
9225099;1975415879;186558940;63917
24082088;2012983070;176795851;28816
38745108;2033571074;132415769;26254
13119240;2056394665;163499366;36623
158249159;2077377594;102439543;315038
9310723;2102021152;42893225;30006
14456242;2107510478;184446198;10549
154985999;2108734997;174413665;40909
8470844;2111450275;33323087;833987
54606211;2120977040;61808140;85324
18244679;2128814160;179979277;156353
152431331;2143935077;184446198;10549
56243369;2147947432;136745531;19378
130092304;2159991633;80150607;76854
154342643;2172279548;2876017;288580
150569175;2233242005;2764617574;253
1027813;2249592853;199447588;270432
84835787;2744685507;61604500;440889
54082186;2751907526;75054922;16907
43810512;2766774084;2764708357;1212
158633375;2799968050;167854760;61812
155223306;2286183593;161221442;20573
120400466;2963090175;40212770;171790
53602583;2963476380;72716621;173308
55676242;2964176302;190996361;34032
158218601;2242168762;11189987;11882
52999189;2974302756;98057184;5717
132031;2991987952;205231332;1790391
152308705;3021219648;196564809;4798
53618091;2165340260;2764771702;1636
14451870;2104532317;2751751161;2996938
15473433;2096669492;198098467;212561
54218790;2021850249;176690450;12322
7102039;2043958338;125675200;2798
119317171;1896258704;182666042;44652
143429384;2107309572;12189451;48533
53964767;2136475323;2764502050;1083
53957527;2110772276;2764863019;3653
157265157;1734615303;104415515;30127
55280482;2136992437;53865935;93756
54187285;2170639672;177147899;1250227
11862746;2144939422;35128040;39132
56094774;2154078831;163591907;74482
16730648;2046145398;2737826994;5589
6232033;2133039201;10542796;276672
49243141;2781378593;148307540;126271
13892667;2964283435;127742747;437953
55076350;2766097158;129650269;11831
153029261;1487985157;2876017;288580
58940686;1515495916;124152463;1911
56094042;1787387953;159137118;4371
