s2orc_paper_id;mag_id;journal_id;journal_cc
117179682;1258713899;40116370;51613
16880444;1479737182;2764552960;4452
17436911;1479941179;190996361;34032
118908640;1482370211;81024170;37229
119149508;1482749028;70718007;205848
17352760;1500659650;201224749;45171
214713844;1554611744;41034432;23490
26479450;1581827580;2764848058;38478
117486692;1593379715;104894821;191538
53421490;1971045789;145875555;49899
43176051;1625948315;136297078;2508
55880054;1631720620;200334879;9850
54198151;1657613020;2764831380;320
15702788;1754350508;145009937;137808
15800918;1802263887;111381568;84503
119606665;1847062822;185232611;82224
333785;1913896462;193368155;52499
16185702;1949768901;141020589;123536
653984;1953966876;151550017;55787
119672239;1973874352;193995496;11178
14726071;1979392751;92819544;35111
15357288;1982706398;182617021;76380
282895;1591897286;2764557503;7380
119153874;1994847769;158241587;516953
119316211;1996863750;44870929;10205
119636902;2002451959;54953690;247562
50165568;2017688207;189914035;7893
17528747;2020509401;53865935;93756
50560774;2022581997;1382107;102117
11062869;2024810302;165542689;26328
119663968;2026321310;128136061;19542
17315153;2027029138;42286584;27639
17603950;2028989809;53865935;93756
207046;2030281453;171170845;197839
18385766;2031598768;32898093;75887
3111468;2034559810;130774151;164187
15600972;2034663072;109387254;401994
119622800;2036310954;182850260;92466
15181023;2041250132;60030702;489275
9607021;2041496181;92430692;64661
17526454;2047265951;36624081;1644091
15098708;2048596004;145400011;6140
117007882;2048676993;74141806;133082
119314515;2050964457;161157516;7655
17510275;2052613575;4805881;101383
122483364;2054553272;35128040;39132
18703841;2063045682;111381568;84503
1354851;2063327836;152000018;1291440
15700341;2067735488;84214272;52520
202712678;2084291270;1980519;6235692
7360997;2086111330;171170845;197839
13581984;2461907743;106296714;445707
119122299;2110143505;112041929;17486
13822170;2110198994;151639445;27296
119314854;2120763819;68787384;48582
21702619;1576308235;115304631;596825
55019027;2129379069;61442588;2859
119689144;2140663779;181823235;21379
28701183;2154888694;70695507;213713
14098657;2158257479;45918994;418347
6981007;2158578774;51811661;15347
9946824;2164633206;122441808;227633
15459089;2166000418;111381568;84503
119607693;2231683461;3832347;2082
119315555;2530073120;113416816;14024
19175604;2535619235;103321696;827561
67760901;2565919305;23873141;21367
1072005;2566400186;106296714;445707
58913460;2568658820;49389958;64312
197645179;2570032640;40212770;171790
119560170;2589162026;151579836;460311
119617095;2593284559;55337115;22001
119176194;2595506521;986251842;14739
57013158;2596276444;6775291;23501
55265361;2768490181;133335107;53950
9813424;2949288242;2764847869;62351
88517285;2951539105;8265502;627136
119717210;2964202800;184147796;258602
119145188;2962678299;20133105;53994
119318322;2962707174;39277603;7633
119165950;2962726479;100601982;605721
7850587;2962809510;19392275;49691
22841688;2962839817;128136061;19542
5073265;2962860067;171741597;129509
119559779;2962863082;1008945784;371
119139375;2962874478;98057184;5717
14212460;2962944185;207372152;67451
33596726;2962944213;74141806;133082
3609994;2962957542;193920097;242261
37100261;2962973319;7571225;94475
55249428;2963085282;19392275;49691
119172580;2963087091;92223472;22659
4660930;2963097534;172538041;42732
56196031;2963196951;122441808;227633
119130918;2963221930;2479175659;1244
51695756;2963255633;172538041;42732
92983757;2963313549;111381568;84503
119131145;2963326122;2475989817;1901
9096277;2963364193;38448739;44405
119174052;2963425863;122441808;227633
119140662;2963479381;70695507;213713
