s2orc_paper_id;mag_id;journal_id;journal_cc
34414608;349767835;2764971142;31484
1708776;1480729583;136745531;19378
1649814;1494805837;69811147;11273
14100385;1533800505;60030702;489275
15702788;1754350508;145009937;137808
27685094;1964781930;77047749;5445627
691276;1971842233;164906323;38242
6841230;1987257106;36178057;199236
8274124;1994111344;201224749;45171
7036151;2011235466;10542796;276672
207709612;2024198142;105693234;142392
2412759;2046545050;20211220;35461
72940656;2050212551;126920787;42916
10316337;2069764498;193920097;242261
2490155;2079947444;172180718;566709
97543156;2084948456;105799767;4274
95158;2095710148;19068271;14397
3222139;2106322422;149131268;266090
3833496;2111792327;205231332;1790391
4117281;2111873666;171842551;102718
15011797;2116017346;192056284;28070
10716051;1983592142;68719679;545624
16789028;2121278322;26208059;351573
21702619;1576308235;115304631;596825
51602176;2138263436;2734515570;88126
5595192;2141713902;202381698;5618654
7326472;2145412474;100695177;874804
24466052;2153449759;24332595;50853
43923085;2287409203;54953690;247562
3429309;2412782625;199944782;1180122
18335403;2496020075;2764534902;2768
42190049;2530538140;169236886;311387
21251987;2546370215;205019203;1390
16139557;2162165644;96638545;2588377
57013158;2596276444;6775291;23501
15040998;2609225800;94052278;356094
4373754;2736111619;202896352;41366
62878916;2801729728;2764944774;745
52821270;2802684400;148906134;10637
14672579;2962988134;51811661;15347
15993159;2963162652;171842551;102718
16624904;2963188097;23326474;136652
10521748;2963239505;2764373995;6469
4939985;2963337715;1029370695;1303
34944152;2963569570;77188613;26071
13080740;3014979169;1382107;102117
210165944;3028436299;40813394;59587
9959026;2087335960;2876017;288580
11465570;258361067;171471881;135255
199442574;2976911694;90573847;353163
54569154;1840356856;158241587;516953
4460387;2083248499;25660060;19967
7917641;1908073171;199944782;1180122
206372071;2487547040;2090548;2065893
209426675;2621565987;133490392;3199219
24361118;1843801275;146313282;9513
3830696;1985071767;2493627025;46229
16665989;2169505290;57552105;757346
24679501;2083506305;92370695;126278
16450964;2253119352;201921491;601340
211085134;3008826351;205231332;1790391
212971;2133920106;44585919;121801
6326622;2077992408;15262226;26155
24437177;2040278822;9483105;302287
41206100;2059411043;25671836;481866
54471099;1578533488;139930977;108963
8112868;1993190166;44425019;2338361
52945037;2896390128;115201632;127262
85494992;2337677587;207178839;5016394
3039150;2026890848;101949793;431319
46818267;2558018685;178776955;1245854
11349921;1965955669;134216166;72103
16714023;1534514683;14326618;170919
664357;2535039263;36624081;1644091
2818133;3005401190;177430994;129040
2347472;2620282772;138998826;19310
3822623;2995290482;195663288;2486617
8309389;2133384661;158656174;163951
10992026;2122305679;81924583;264048
43372036;2423534019;2764777805;6091
1216155;2928295237;170067410;130365
6752708;1997472940;42286584;27639
19082709;2035630188;61246407;53525
52175983;2567825638;59933527;152414
17781968;2921233725;133490392;3199219
9681191;2148717663;191726168;140357
52842534;2076387274;187585107;1398361
2630803;2140799769;207178839;5016394
13004222;2985956590;195663288;2486617
23119992;2036496067;194752149;106419
14839843;2118507940;62159105;2003701
4052881;2008719052;144709864;2098
1200206;2003375498;202381698;5618654
51877955;2732694967;115575112;54292
9963387;108310530;2475403985;50520
71080883;2103139373;24095051;36824
40795435;2128623233;2475403985;50520
202745116;2775727119;26056741;8515
17470108;1969197809;3006207977;1071860
207611347;1980522728;137468011;143282
28842066;1984346272;3006183880;842685
35554722;1987693226;54953690;247562
15395229;1992999014;145200904;106337
