s2orc_paper_id;mag_id;year;author_num;citation_count;reference_count;topic_size;first_author_prod;first_author_h_index;last_author_index;last_author_prod;last_author_h_index;title_len
34414608;349767835;2008;2;0;0;12868;208;39;2;139;29;5
1708776;1480729583;2017;2;8;100;258440;52;12;2;192;17;4
201059539;1523394679;2010;7;16;46;285958;5;3;7;285;20;20
14100385;1533800505;2016;2;18;22;25761;111;20;2;552;67;11
91584513;1965365096;2010;1;8;9;157202;61;12;1;61;12;8
691276;1971842233;2010;1;6;34;13247;41;9;1;41;9;11
54956439;1978875564;2009;1;75;35;704502;82;16;1;82;16;15
95158;2095710148;2010;4;13;0;80030;116;25;4;5;3;13
3833496;2111792327;1998;3;14;6;189985;6;2;3;6;2;12
15011797;2116017346;2011;1;241;86;64630;97;16;1;97;16;6
35106034;2137539845;2008;1;0;1;26020;1082;126;1;1082;126;6
51602176;2138263436;2009;14;57;42;49789;533;66;9;18;9;17
5595192;2141713902;2013;3;16;20;47057;33;13;3;225;59;9
42190049;2530538140;2016;6;19;66;3357;21;11;6;369;149;11
15660162;2907617928;2019;3;7;50;781236;16;6;3;122;29;15
14672579;2962988134;2020;1;1;28;32313;2;1;1;2;1;17
15993159;2963162652;2012;2;6;20;236501;17;5;2;218;28;5
10521748;2963239505;2017;2;4;0;302799;47;6;2;43;10;14
4939985;2963337715;2016;2;6;0;14686;33;7;2;198;33;8
59466237;2965822216;2020;2;5;13;65694;39;9;2;33;8;9
13080740;3014979169;2020;2;0;16;11712;12;2;2;27;6;10
210165944;3028436299;2020;2;0;9;98883;45;9;2;4;1;16
53516695;2604983075;2012;1;0;0;132453;168;26;1;168;26;11
9959026;2087335960;1987;3;169;24;65884;452;45;3;161;59;6
3830696;1985071767;2005;4;7;9;47650;9;4;4;1101;61;13
16665989;2169505290;2013;3;34;73;23879;50;22;3;183;71;10
16450964;2253119352;2017;3;98;47;1003234;31;6;3;35;16;12
208526488;2147000782;2016;10;5;27;90909;57;11;9;30;7;11
212971;2133920106;2009;2;13;58;20419;46;13;2;16;5;10
41206100;2059411043;2004;13;2018;63;76484;7;4;9;332;82;17
8112868;1993190166;2007;9;124;51;37371;25;14;9;316;80;15
52945037;2896390128;2019;1;1;67;604039;4;2;1;4;2;9
54174159;1980535542;2015;3;24;57;664279;7;5;3;411;69;11
3039150;2026890848;2008;3;67;28;107404;44;18;3;13;7;19
18266248;571227616;2013;4;8;27;10896;39;17;4;2;1;11
58940091;2025237473;2010;5;21;41;63350;48;8;5;198;46;9
2818133;3005401190;2020;2;25;64;105722;21;9;2;96;20;10
1216155;2928295237;1997;4;1;0;152930;167;59;4;303;73;9
18791575;2034115303;2015;9;120;76;82588;17;6;9;239;29;14
55636497;2606505045;2017;5;1;0;90374;17;1;5;21;2;18
52842534;2076387274;2008;3;13;86;80718;65;14;3;36;13;14
13004222;2985956590;2020;2;3;48;199756;1;1;2;29;10;15
14839843;2118507940;2006;2;86;46;48110;326;51;2;71;16;5
1200206;2003375498;2014;6;5;62;151563;5;4;6;1;1;9
82019242;2577578348;2008;6;3;1;50356;4;2;6;14;2;37
18080531;1843395103;2012;2;1;0;49789;72;20;2;204;68;8
17470108;1969197809;2003;2;159;29;16533;90;32;2;182;61;11
9109962;2003907141;2007;2;110;44;2533540;122;20;2;115;29;10
12976076;2010989358;2012;5;10;22;5124;137;12;5;19;4;6
41655132;2036135416;2010;4;31;24;16877;37;9;4;27;9;10
85240646;2044021714;2015;2;7;53;97237;20;3;2;63;7;13
10944854;2060414131;2009;4;51;63;42123;76;10;4;26;9;5
42138945;2106174959;2012;2;6;28;53;8;2;2;16;6;12
6511783;2135889103;2009;5;42;18;179;49;16;5;297;92;8
859549;2136106887;2015;3;18;27;208958;108;33;3;50;21;10
18356751;2158301184;2014;6;4;12;252755;109;17;6;11;4;17
22127599;2547363423;2017;2;51;51;23716;10;3;2;109;25;15
16317388;2592760815;2017;5;0;23;106415;5;2;5;118;14;11
85235621;2117908325;2012;4;57;33;51283;22;7;4;58;10;10
16163687;2584638120;1999;2;16;0;42605;9;7;2;340;62;7
15667151;2803432986;2018;3;16;42;25016;14;6;3;110;11;10
73455248;2808888682;2019;1;2;0;66579;19;3;1;19;3;13
44182571;2889019176;2019;1;0;9;69014;2;0;1;2;0;13
14095229;2963484807;2017;4;2;23;2533540;4;2;4;58;18;11
2871303;2963982425;2018;2;5;47;302799;40;8;2;154;23;9
155930153;2964056049;2016;4;7;39;302799;29;8;4;59;10;12
21486028;3010865538;2020;2;2;44;797;106;15;2;11;2;12
86846039;3011044443;2020;3;1;0;704502;29;5;3;55;17;10
55779898;3021336616;2020;1;2;32;2533540;28;5;1;28;5;8
16612363;3022953487;2020;3;24;59;515385;18;7;3;69;18;12
85730989;2091819582;2006;2;0;22;39565;86;15;2;25;3;17
8349745;2097531812;2007;2;16;21;47086;21;5;2;32;9;12
88721688;2529454049;2011;8;9;42;13643;13;5;8;5;2;17
1911481;1963886393;2005;2;68;23;22935;36;7;2;630;52;13
20768690;2519897196;1995;2;0;0;8;61;25;2;28;10;10
17306969;1995438696;2010;2;67;37;481;137;22;2;236;29;6
196629749;2085708372;2005;7;356;37;47057;170;57;7;53;27;9
7908246;2143857994;2002;3;15;56;772;80;25;3;292;79;9
82210731;2138445791;2004;6;129;53;248340;65;23;6;100;63;11
195439999;1557624408;2015;9;8;11;97751;4;1;9;148;16;11
13020169;2020184186;2004;3;68;47;1092752;37;21;3;51;31;11
1465416;2550402943;2017;15;17;132;39045;50;16;9;51;15;9
139104644;2258233875;2016;3;1;25;316600;24;7;3;4;2;15
1387309;1528389080;2014;6;0;0;116924;66;15;6;101;18;18
51935893;1977638451;2004;2;11;92;15586;121;18;2;32;14;12
82219803;1971942877;2013;3;5;26;54821;17;5;3;131;23;23
25386675;1988582839;1995;4;75;0;14701;3;3;4;134;44;25
59337907;2972485811;2019;7;9;73;2533540;8;3;7;71;13;19
22102625;2008814202;1992;9;6;13;101431;2;2;9;1;1;14
4835859;2759345302;2017;3;2;50;14664;2;1;3;49;19;10
84055181;1846461096;2015;5;2;0;47668;65;8;5;49;8;24
22816398;2962772482;2018;6;1223;91;103372;93;15;6;326;57;9
