s2orc_paper_id;mag_id;year;author_num;citation_count;reference_count;topic_size;first_author_prod;first_author_h_index;last_author_index;last_author_prod;last_author_h_index;title_len
16880444;1479737182;2013;4;1;0;257552;56;13;4;394;48;10
17352760;1500659650;2013;1;3;20;34643;3;1;1;3;1;11
578349;2584260698;2006;3;0;0;45292;328;59;3;2;1;5
5167271;2522327589;2005;2;0;0;45292;126;29;2;128;22;7
2725803;1554423888;2017;3;24;31;15071;127;15;3;536;50;11
2680602;1556243378;2005;6;7;0;289715;83;25;6;693;130;13
26479450;1581827580;2016;1;1;10;16447;187;36;1;187;36;6
43176051;1625948315;2011;2;0;31;38901;9;4;2;68;13;6
14274262;1694887423;2013;2;5;54;45834;117;14;2;5;4;5
8831047;1700901120;2015;4;23;16;37109;3;2;4;131;15;11
43801651;2526946698;2003;3;2;0;71525;2;2;3;41;12;10
333785;1913896462;2015;2;4;28;7983;27;6;2;463;37;10
16185702;1949768901;2014;3;3;35;14014;57;9;3;10;3;10
653984;1953966876;2016;3;16;40;37547;3;2;3;149;25;12
1236;1969581540;2004;2;109;36;30064;249;28;2;191;26;5
17145762;1971404613;2015;4;5;25;38901;10;3;4;109;13;5
691276;1971842233;2010;1;6;34;13247;41;9;1;41;9;11
14726071;1979392751;2003;3;6;15;94029;131;21;3;22;9;13
14531812;1991341583;2004;2;9;43;10288;122;22;2;267;57;6
282895;1591897286;1999;2;10;22;14196;122;22;2;267;57;6
8274124;1994111344;2010;1;0;18;1869;22;5;1;22;5;4
15126836;2012435866;2007;1;0;11;15825;2;0;1;2;0;10
15348366;2020481222;2015;4;71;34;32762;16;3;4;68;20;11
11062869;2024810302;2005;1;9;32;67897;142;30;1;142;30;5
17315153;2027029138;2006;3;24;24;2151;87;12;3;84;7;4
18385766;2031598768;2013;4;24;50;1172;8;4;4;704;96;13
210714576;2056104224;2010;1;58;31;161871;16;8;1;16;8;11
202712678;2084291270;2012;4;207;86;199756;141;55;4;72;17;9
6786632;2995660800;2004;3;0;0;61043;284;35;3;24;7;10
13581984;2461907743;2004;2;0;0;17529;122;41;2;5;2;8
13361520;2592965936;2006;3;0;0;100658;241;22;3;547;29;12
3222139;2106322422;2012;2;53;33;225966;87;18;2;261;65;4
53231671;2109211071;2004;2;21;16;165260;2;1;2;40;12;10
19004499;2110350701;2010;3;6;18;34282;15;6;3;138;21;9
55019027;2129379069;2013;2;6;12;90711;210;33;2;3;2;7
5352336;2136755165;2008;2;81;47;94767;52;7;2;162;49;9
17319523;2139599273;2011;2;257;47;762118;259;72;2;545;99;8
5595192;2141713902;2013;3;16;20;47057;33;13;3;225;59;9
638513;2947661187;2015;2;0;0;7464;2;0;2;77;18;7
14952806;2404155121;2016;5;9;55;34452;16;8;5;238;54;8
3429309;2412782625;2018;5;6792;99;150793;67;34;5;824;114;14
18335403;2496020075;1998;1;0;0;484502;131;11;1;131;11;8
19175604;2535619235;2018;2;3;28;23951;28;10;2;111;18;10
16139557;2162165644;2007;2;87;65;14485;36;17;2;344;80;12
1072005;2566400186;2004;5;11;0;9549;319;70;5;146;24;8
3475969;2093333858;2010;2;113;36;21994;87;18;2;115;21;8
8928307;2804995076;2006;3;1;0;16447;295;26;3;384;39;11
9813424;2949288242;2017;4;22;0;37831;178;26;4;286;40;9
55009753;2951240563;2019;3;7;0;165260;66;14;3;63;10;7
53236530;2952039123;2020;3;3;49;24984;134;18;3;4;2;9
5073265;2962860067;2017;1;2;12;72453;2;1;1;2;1;5
33596726;2962944213;2012;2;12;17;161871;108;15;2;50;12;12
3609994;2962957542;2018;3;4;21;157202;260;50;3;157;21;10
37100261;2962973319;2012;2;9;10;23297;28;6;2;18;3;6
42489969;2963025906;2018;2;12;25;1588;62;14;2;14;5;16
10521748;2963239505;2017;2;4;0;302799;47;6;2;43;10;14
9096277;2963364193;2013;2;12;30;8243;209;27;2;17;4;6
18435935;2963481646;2010;2;5;23;302799;50;12;2;18;4;8
15762169;2963646327;2017;3;22;71;98;63;15;3;28;7;6
32430751;2963856015;2018;3;8;49;105722;35;8;3;111;38;7
14639080;2963963665;2017;1;8;34;245357;8;2;1;8;2;6
11704758;2963998718;2017;3;12;37;261415;42;10;3;44;11;11
16555102;2964085117;2019;1;0;0;15565;102;14;1;102;14;6
2216379;2997617429;2004;3;0;0;197524;91;16;3;380;55;4
15282282;2997657741;2020;46;3;42;53486;80;12;9;32;9;10
51791460;3009914920;2020;3;18;85;88861;2;2;3;168;48;8
210116692;3010472383;2020;5;3;5;41214;21;8;5;143;15;10
6964023;2963667310;2016;2;11;0;22892;34;5;2;132;15;13
53052501;3022133575;2020;4;0;48;172327;6;2;4;246;14;13
3152863;2144055462;2015;3;28;46;84331;59;17;3;275;23;7
8173387;2303314472;2016;2;15;0;26453;64;18;2;64;13;10
40486748;115069238;1992;2;7;10;7342;85;16;2;162;25;11
199442574;2976911694;2019;7;5;36;36918;21;5;7;71;17;6
54569154;1840356856;2008;2;55;47;125241;113;26;2;130;34;3
9959151;2407772006;2015;4;6;0;225786;67;20;4;43;15;6
14407461;1994358002;2000;3;3;16;713;2;1;3;75;20;5
7917641;1908073171;2017;3;9;34;44863;6;3;3;143;20;12
199577413;2976597061;2020;2;1;6;12242;15;3;2;102;13;10
14819949;427286788;2010;2;1;0;54146;1;1;2;173;21;14
209426675;2621565987;2017;768;16;26;18039;1286;117;99;578;102;15
29936858;2027638118;2012;1;10;17;262839;1;1;1;1;1;11
17797087;2734907804;2012;4;37;32;102760;120;19;4;14;6;7
23644814;2618072050;2018;3;14;65;555443;6;3;3;181;36;18
2026569;1977531046;2007;5;54;12;405677;53;15;5;117;30;13
6374310;2594037736;2017;120;9;67;74693;197;50;99;95;25;20
119162262;2778983193;2019;3;6;8;4811;19;4;3;22;4;11
56657868;3015744214;2020;6;8;37;37476;50;11;6;64;12;13
160208;2332182779;2004;9;5;8;8064;3;2;9;169;30;25
53654495;1940787084;2015;5;18;53;50947;62;16;5;138;45;10
42484471;2605692204;2017;7;2;29;41923;55;11;7;250;29;30
40550124;1833042526;2015;11;7;41;87434;5;1;9;325;63;26
31019129;1963825920;2015;3;24;31;140037;37;10;3;73;17;15
14080011;2982327144;2020;3;3;59;199756;571;108;3;9;5;5
15992974;1864742560;1992;4;123;0;33426;21;18;4;131;51;14
1134336;2053245796;2009;3;6;13;185568;16;6;3;143;21;5
199405460;2991119219;2020;2;2;48;555443;113;29;2;42;12;14
2305800;2118215847;2012;3;0;2;6340;37;9;3;12;3;21
17772781;2058824702;2007;4;78;7;9225;192;24;4;158;27;8
14011177;1528466706;2002;2;15;14;39193;1;1;2;1;1;16
1464209;2096211361;2012;3;15;32;89185;28;8;3;112;33;9
6348305;2100026337;2007;1;67;22;28974;51;18;1;51;18;7
119619729;2913024421;2020;2;1;58;555443;33;9;2;12;4;18
11349921;1965955669;2014;3;6;21;252755;25;5;3;1;1;15
12849539;1828519757;2015;5;172;290;106519;21;5;5;173;32;10
39641581;2756979373;2015;1;0;0;50560;1;0;1;1;0;15
13927977;2405491674;2012;4;2;0;2487;167;19;4;27;5;3
14105798;2055623023;2011;2;4;13;305505;87;19;2;28;6;11
17682015;2311337072;2016;5;8;65;2533540;104;20;5;284;34;12
