s2orc_paper_id;mag_id;year;author_num;citation_count;reference_count;topic_size;first_author_prod;first_author_h_index;last_author_index;last_author_prod;last_author_h_index;title_len
153997343;2011896872;2002;2;32;35;93501;310;30;2;183;28;12
299873;2018090882;2010;2;393;55;84331;292;79;2;44;24;11
53652362;2018253264;2002;3;57;19;273451;33;16;3;124;26;8
154640530;2068496814;1997;2;293;19;8125;145;25;2;7;4;7
154965277;2118727028;2015;1;17;51;27968;41;5;1;41;5;8
6175988;2119884887;2013;3;375;48;538829;1229;219;3;19;7;7
59153655;2133276644;2008;2;11;15;23727;266;43;2;57;8;5
54696262;2145360866;2014;3;182;62;46148;126;40;3;630;87;8
10127158;2161850370;2014;2;5;53;72783;55;12;2;4;1;7
154472215;2165722001;2002;2;312;30;8399;43;14;2;143;45;6
53622716;2235265174;2017;2;1;21;2533540;86;13;2;351;28;6
195282560;2256503782;2016;2;8;33;555443;4;2;2;23;8;13
19394306;2086922847;2012;2;55;39;254120;52;3;2;177;19;7
3475969;2093333858;2010;2;113;36;21994;87;18;2;115;21;8
181525359;2946172734;2019;4;0;0;60634;86;10;4;32;8;19
42489969;2963025906;2018;2;12;25;1588;62;14;2;14;5;16
119172580;2963087091;2017;2;13;27;27246;96;13;2;117;14;7
33075931;2979894627;2019;4;5;24;46090;16;3;4;118;19;6
53453437;2999566775;2019;1;0;0;825497;4;1;1;4;1;12
16035896;2088276877;1997;2;14;6;44885;66;22;2;308;60;8
12683930;2125520845;2015;3;0;19;8149;55;14;3;57;17;8
2364435;2141216910;2010;1;14;26;31626;26;10;1;26;10;12
13902245;1972558036;2003;2;65;45;2533540;27;10;2;238;57;25
42834708;2099756572;2013;3;19;50;17828;34;14;3;1;1;8
46893061;1989905368;2013;6;31;3;47834;92;18;6;4;3;15
14080011;2982327144;2020;3;3;59;199756;571;108;3;9;5;5
153359305;1582892904;2010;3;87;50;307108;10;3;3;50;12;14
54737917;2611762587;2017;2;1;0;3496;21;4;2;1;1;10
18298218;2015004135;2010;1;16;74;81196;79;21;1;79;21;14
16940879;2059208633;2014;1;66;83;80953;4;3;1;4;3;16
158637234;2746177720;2017;2;24;67;1658;111;19;2;175;50;12
37416527;2469682971;2000;2;4;0;56039;1;1;2;229;48;9
3867980;2273917901;2016;2;26;16;206317;279;34;2;16;5;6
53959460;1973950346;2013;3;71;67;144006;58;18;3;156;17;10
154263383;1990496580;2012;2;6;41;7594;234;16;2;41;5;9
59135235;1991460032;2012;2;11;36;257765;48;6;2;80;11;8
15395229;1992999014;2012;2;57;52;173126;45;15;2;462;108;7
53515348;2015708157;2013;2;15;24;3171;46;10;2;49;11;11
53505092;2060560341;2006;1;13;23;94345;64;16;1;64;16;11
49567452;2078590249;2012;2;22;33;81196;74;14;2;209;46;12
10492285;2080984053;2005;3;133;26;76022;24;10;3;12;6;8
16766088;2081503595;2005;1;2;22;30307;179;20;1;179;20;7
55740625;2103055881;2009;2;85;57;2533540;7;4;2;495;85;6
154840997;2115524094;2005;2;16;30;80498;357;26;2;209;19;10
14586073;2128848246;2008;2;3;40;15777;39;4;2;133;17;10
55875324;2134171436;2012;1;40;36;60030;96;16;1;96;16;10
13674217;2156266242;2011;1;2;27;93501;30;6;1;30;6;9
