s2orc_paper_id;mag_id;year;author_num;citation_count;reference_count;topic_size;first_author_prod;first_author_h_index;last_author_index;last_author_prod;last_author_h_index;title_len
117179682;1258713899;2016;1;3;26;426574;59;8;1;59;8;5
16880444;1479737182;2013;4;1;0;257552;56;13;4;394;48;10
17436911;1479941179;2014;3;22;18;161871;13;6;3;12;2;8
118908640;1482370211;2015;3;9;35;32770;109;13;3;132;28;17
119149508;1482749028;2015;2;3;20;55494;29;4;2;5;2;14
17352760;1500659650;2013;1;3;20;34643;3;1;1;3;1;11
214713844;1554611744;2014;6;16;61;93005;52;19;6;120;24;7
26479450;1581827580;2016;1;1;10;16447;187;36;1;187;36;6
117486692;1593379715;2016;3;10;29;18041;18;5;3;38;11;13
53421490;1971045789;2011;3;23;43;163563;176;28;3;47;7;10
43176051;1625948315;2011;2;0;31;38901;9;4;2;68;13;6
55880054;1631720620;2010;3;26;26;39171;153;25;3;91;12;5
54198151;1657613020;2016;1;3;7;94345;71;6;1;71;6;12
15702788;1754350508;2016;4;83;50;90156;12;5;4;288;55;11
15800918;1802263887;2005;1;4;0;24695;57;6;1;57;6;7
119606665;1847062822;2016;1;7;10;161871;232;42;1;232;42;7
333785;1913896462;2015;2;4;28;7983;27;6;2;463;37;10
16185702;1949768901;2014;3;3;35;14014;57;9;3;10;3;10
653984;1953966876;2016;3;16;40;37547;3;2;3;149;25;12
119672239;1973874352;2007;2;145;58;14174;266;55;2;286;65;8
14726071;1979392751;2003;3;6;15;94029;131;21;3;22;9;13
15357288;1982706398;2006;2;106;11;704502;24;8;2;161;28;15
282895;1591897286;1999;2;10;22;14196;122;22;2;267;57;6
119153874;1994847769;2005;1;5;9;9424;154;20;1;154;20;6
119316211;1996863750;2015;3;5;53;5986;127;20;3;117;30;3
119636902;2002451959;2011;3;13;20;192160;129;19;3;81;12;7
50165568;2017688207;2014;5;3;12;9934;2;1;5;2;1;9
17528747;2020509401;2003;1;1;11;42123;42;9;1;42;9;8
50560774;2022581997;2014;2;4;32;12869;72;11;2;66;11;4
11062869;2024810302;2005;1;9;32;67897;142;30;1;142;30;5
119663968;2026321310;2011;2;55;26;14261;323;28;2;69;14;8
17315153;2027029138;2006;3;24;24;2151;87;12;3;84;7;4
17603950;2028989809;2009;1;2;14;13094;5;2;1;5;2;5
207046;2030281453;2006;1;52;28;25576;67;19;1;67;19;8
18385766;2031598768;2013;4;24;50;1172;8;4;4;704;96;13
3111468;2034559810;2009;1;5;30;47086;17;4;1;17;4;8
