s2orc_paper_id;mag_id;year;author_num;citation_count;reference_count;topic_size;first_author_prod;first_author_h_index;last_author_index;last_author_prod;last_author_h_index;title_len
34414608;349767835;2008;2;0;0;12868;208;39;2;139;29;5
1708776;1480729583;2017;2;8;100;258440;52;12;2;192;17;4
1649814;1494805837;2011;14;18;0;793098;218;34;9;116;22;9
14100385;1533800505;2016;2;18;22;25761;111;20;2;552;67;11
15702788;1754350508;2016;4;83;50;90156;12;5;4;288;55;11
27685094;1964781930;2014;3;3;56;135659;9;3;3;446;77;11
691276;1971842233;2010;1;6;34;13247;41;9;1;41;9;11
6841230;1987257106;2012;2;2;8;8269;149;27;2;37;8;9
8274124;1994111344;2010;1;0;18;1869;22;5;1;22;5;4
7036151;2011235466;2003;8;91;19;119880;38;16;8;5;3;14
207709612;2024198142;2010;1;26;24;24417;160;32;1;160;32;9
2412759;2046545050;2007;3;132;13;100658;30;16;3;351;99;10
72940656;2050212551;2008;1;28;11;5379;10;3;1;10;3;6
10316337;2069764498;2012;2;20;53;90711;139;16;2;486;55;8
2490155;2079947444;2015;3;85;37;140078;8;6;3;123;24;7
97543156;2084948456;2013;2;3;69;2086;57;6;2;90;8;14
95158;2095710148;2010;4;13;0;80030;116;25;4;5;3;13
3222139;2106322422;2012;2;53;33;225966;87;18;2;261;65;4
3833496;2111792327;1998;3;14;6;189985;6;2;3;6;2;12
4117281;2111873666;2014;1;4;26;681;66;13;1;66;13;11
15011797;2116017346;2011;1;241;86;64630;97;16;1;97;16;6
10716051;1983592142;2005;2;257;47;9095;73;20;2;12;6;10
16789028;2121278322;2014;4;2;14;437304;57;10;4;93;16;18
21702619;1576308235;2014;4;0;0;437304;57;10;4;93;16;18
51602176;2138263436;2009;14;57;42;49789;533;66;9;18;9;17
5595192;2141713902;2013;3;16;20;47057;33;13;3;225;59;9
7326472;2145412474;1998;7;74;26;199756;243;61;7;382;89;11
24466052;2153449759;2011;2;5;12;704502;2;1;2;71;23;11
43923085;2287409203;2017;3;39;27;5849;242;22;3;509;50;6
3429309;2412782625;2018;5;6792;99;150793;67;34;5;824;114;14
18335403;2496020075;1998;1;0;0;484502;131;11;1;131;11;8
42190049;2530538140;2016;6;19;66;3357;21;11;6;369;149;11
21251987;2546370215;2017;4;7;19;161871;47;10;4;288;24;6
16139557;2162165644;2007;2;87;65;14485;36;17;2;344;80;12
57013158;2596276444;2018;3;13;55;633776;44;7;3;20;6;6
15040998;2609225800;2017;7;255;143;28804;249;78;7;38;12;13
4373754;2736111619;2017;4;14;64;160127;20;5;4;107;19;13
62878916;2801729728;2000;1;0;0;3958;2;1;1;2;1;8
52821270;2802684400;2018;2;4;31;95378;2;1;2;63;15;6
14672579;2962988134;2020;1;1;28;32313;2;1;1;2;1;17
15993159;2963162652;2012;2;6;20;236501;17;5;2;218;28;5
16624904;2963188097;2009;2;80;33;214519;695;147;2;316;46;11
10521748;2963239505;2017;2;4;0;302799;47;6;2;43;10;14
4939985;2963337715;2016;2;6;0;14686;33;7;2;198;33;8
34944152;2963569570;2013;3;4;0;36535;21;10;3;195;33;9
13080740;3014979169;2020;2;0;16;11712;12;2;2;27;6;10
210165944;3028436299;2020;2;0;9;98883;45;9;2;4;1;16
9959026;2087335960;1987;3;169;24;65884;452;45;3;161;59;6
11465570;258361067;2015;3;4;0;182557;8;2;3;6;2;13
199442574;2976911694;2019;7;5;36;36918;21;5;7;71;17;6
54569154;1840356856;2008;2;55;47;125241;113;26;2;130;34;3
4460387;2083248499;2012;6;17;27;46808;10;5;6;98;13;19
7917641;1908073171;2017;3;9;34;44863;6;3;3;143;20;12
206372071;2487547040;2017;2;16;64;10142;19;9;2;80;28;17
209426675;2621565987;2017;768;16;26;18039;1286;117;99;578;102;15
24361118;1843801275;2012;3;3;6;315266;9;3;3;2;1;21
3830696;1985071767;2005;4;7;9;47650;9;4;4;1101;61;13
16665989;2169505290;2013;3;34;73;23879;50;22;3;183;71;10
24679501;2083506305;2008;6;57;11;538829;271;30;6;39;13;16
16450964;2253119352;2017;3;98;47;1003234;31;6;3;35;16;12
211085134;3008826351;2020;51;1;50;10395;52;11;9;57;14;13
212971;2133920106;2009;2;13;58;20419;46;13;2;16;5;10
6326622;2077992408;2013;7;2;36;157682;18;4;7;20;6;12
24437177;2040278822;2011;6;18;34;106770;62;5;6;93;14;14
41206100;2059411043;2004;13;2018;63;76484;7;4;9;332;82;17
54471099;1578533488;2012;3;15;37;102339;178;20;3;144;24;9
8112868;1993190166;2007;9;124;51;37371;25;14;9;316;80;15
52945037;2896390128;2019;1;1;67;604039;4;2;1;4;2;9
85494992;2337677587;2016;10;6;70;105522;53;17;9;83;22;21
3039150;2026890848;2008;3;67;28;107404;44;18;3;13;7;19
46818267;2558018685;2017;5;4;37;397285;29;9;5;112;32;11
11349921;1965955669;2014;3;6;21;252755;25;5;3;1;1;15
16714023;1534514683;2005;4;38;56;140580;63;23;4;66;38;25
664357;2535039263;2016;2;1;54;3647;41;15;2;194;44;7
2818133;3005401190;2020;2;25;64;105722;21;9;2;96;20;10
2347472;2620282772;2017;5;3;11;3812;6;2;5;221;21;17
3822623;2995290482;2020;4;1;39;199756;4;2;4;2;1;10
8309389;2133384661;2000;1;151;31;2863;99;45;1;99;45;17
10992026;2488089564;2010;5;13;0;325273;11;8;5;1539;207;22
43372036;2423534019;2013;1;0;3;68545;163;21;1;163;21;9
1216155;2928295237;1997;4;1;0;152930;167;59;4;303;73;9
6752708;1997472940;2007;4;20;19;10925;209;29;4;327;59;15
19082709;2035630188;2010;3;19;42;30432;70;19;3;63;17;16
52175983;2567825638;2010;3;4;8;71365;102;14;3;118;21;10
17781968;2921233725;2019;3;6;34;69932;182;34;3;10;3;7
9681191;2601766844;2015;2;0;0;606770;4;1;2;2;0;31
52842534;2076387274;2008;3;13;86;80718;65;14;3;36;13;14
2630803;2140799769;2009;4;29;45;103771;51;17;4;122;41;13
13004222;2985956590;2020;2;3;48;199756;1;1;2;29;10;15
23119992;2036496067;2011;4;14;50;2583;19;13;4;182;47;16
14839843;2118507940;2006;2;86;46;48110;326;51;2;71;16;5
4052881;2008719052;2000;3;1;11;9109;8;1;3;9;2;9
