s2orc_paper_id;mag_id;year;author_num;citation_count;reference_count;topic_size;first_author_prod;first_author_h_index;last_author_index;last_author_prod;last_author_h_index;title_len
118908640;1482370211;2015;3;9;35;32770;109;13;3;132;28;17
119149508;1482749028;2015;2;3;20;55494;29;4;2;5;2;14
119182468;1593871619;2011;4;2;5;7772;2;1;4;153;12;9
43176051;1625948315;2011;2;0;31;38901;9;4;2;68;13;6
53338509;1766331502;2015;94;57;95;43598;123;38;94;49;16;11
118015610;1928045444;2016;1;0;49;215172;32;5;1;32;5;15
56317105;1955148565;2010;3;264;34;35673;343;45;3;96;19;11
27685094;1964781930;2014;3;3;56;135659;9;3;3;446;77;11
17145762;1971404613;2015;4;5;25;38901;10;3;4;109;13;5
122421328;1978124198;2005;2;19;10;2019;149;32;2;2;1;10
14726071;1979392751;2003;3;6;15;94029;131;21;3;22;9;13
119153874;1994847769;2005;1;5;9;9424;154;20;1;154;20;6
118438457;2013527347;2011;7;54;69;199756;49;26;7;98;53;14
17388008;2019058562;2007;5;26;187;85110;317;57;5;401;58;14
14908326;2032074328;1995;5;14;13;165781;57;15;5;15;9;12
15600972;2034663072;2013;7;234;48;12141;28;19;7;734;149;14
119254963;2040000202;2013;1;0;7;253429;55;12;1;55;12;7
208267906;2040895392;2011;3;33;15;26323;34;14;3;34;10;12
33110824;2045332543;2015;4;16;39;927315;13;4;4;56;13;10
15098708;2048596004;2009;2;31;23;704502;81;13;2;90;28;9
40987390;2060971540;2012;1;4;14;2999;62;10;1;62;10;9
15458349;2061347162;2008;5;324;102;62403;336;66;5;393;83;20
18703841;2063045682;2014;3;15;24;12924;101;24;3;363;50;11
1354851;2063327836;1997;2;86;0;374812;10;7;2;170;26;13
119224078;2068333003;2014;6;31;54;30390;634;72;6;300;33;11
119191120;2077586864;2006;3;69;22;94545;36;11;3;107;33;7
202712678;2084291270;2012;4;207;86;199756;141;55;4;72;17;9
16871296;2093289756;1999;2;179;49;199756;422;110;2;216;55;15
67837589;2528588135;2014;10;0;0;192248;55;22;9;115;23;14
118458495;2112354520;2011;5;57;86;31568;118;33;5;850;117;12
21702619;1576308235;2014;4;0;0;437304;57;10;4;93;16;18
10540115;2127603276;2000;11;0;0;67140;50;22;9;350;60;9
3567203;2135484842;2010;4;8;92;426574;87;30;4;278;48;12
17319523;2139599273;2011;2;257;47;762118;259;72;2;545;99;8
28721358;2149314830;2013;2;13;17;148553;25;6;2;265;26;8
2959771;2150848979;2003;2;29;25;163563;43;12;2;110;19;8
579438;2153907050;2011;1;4;31;97237;13;4;1;13;4;9
119288480;2197364638;2015;2;39;38;8088;49;18;2;393;83;10
53386092;2211251945;2016;10;67;40;189985;219;68;9;13;11;6
118601391;2230767397;2013;6;104;82;2533540;69;19;6;54;23;21
18331919;2069518381;1985;1;21;0;484502;131;11;1;131;11;8
54922976;2512430952;2006;3;21;0;2671;24;10;3;294;23;11
119315555;2530073120;2016;2;5;55;110906;54;10;2;80;19;13
119206866;2553697453;2017;17;26;137;199756;53;13;9;101;40;16
67846798;2582903505;2017;3;19;36;48110;29;19;3;70;33;6
109926457;2591564819;2017;1;2;95;40976;78;15;1;78;15;8
43350618;2594396480;2017;18;14;64;2533540;5;3;9;245;101;15
119176194;2595506521;2018;2;2;31;588217;87;16;2;31;5;8
57013158;2596276444;2018;3;13;55;633776;44;7;3;20;6;6
53414549;2597499353;2017;3;16;78;4251;9;4;3;328;68;14
15040998;2609225800;2017;7;255;143;28804;249;78;7;38;12;13
55945462;2620885640;2019;3;22;31;63909;165;21;3;114;21;8
119007928;2903157171;2019;3;8;29;57363;17;6;3;13;5;11
9813424;2949288242;2017;4;22;0;37831;178;26;4;286;40;9
118640139;2951831496;2011;4;63;59;69932;61;13;4;12;4;13
122902609;2955577413;2019;3;1;27;2533540;22;5;3;547;26;9
118405750;2962722083;2016;3;129;24;19914;197;64;3;574;191;7
119165950;2962726479;2014;2;2;33;33527;96;27;2;226;29;11
18220578;2962853249;1996;3;1;0;189985;1137;143;3;704;92;10
16579816;2962856051;2008;1;7;14;91691;176;24;1;176;24;7
14212460;2962944185;2016;3;9;0;58436;62;10;3;1104;110;8
118347706;2963007168;2018;4;3;44;7516;49;9;4;46;10;9
54720756;2963102747;2009;34;1036;78;199756;265;64;9;546;82;13
53595417;2963563838;2018;3;0;16;22869;64;10;3;6;1;19
17594638;2963593810;1999;1;8;6;39714;2;2;1;2;2;4
119276707;2963881966;2019;2;0;9;825497;29;6;2;35;6;8
11704758;2963998718;2017;3;12;37;261415;42;10;3;44;11;11
93197647;2965634322;2020;1;0;19;165781;89;15;1;89;15;15
119302920;2969279901;2019;1;0;11;65431;7;0;1;7;0;17
173990972;2977791755;2019;1;2;22;12674;54;15;1;54;15;7
119356266;2989904145;2020;1;31;54;55817;2;2;1;2;2;11
84842910;2991619956;2020;3;0;43;4144;72;14;3;222;28;24
202130422;3000538446;2020;4;15;119;838;17;7;4;32;16;11
208548595;3002808215;2020;2;5;24;482909;163;27;2;130;30;10
209324225;3013421095;2020;2;5;0;53501;60;14;2;8;4;6
208527520;3014885619;2020;2;1;17;49055;60;18;2;12;3;8
15361940;1996235380;1999;4;92;25;2533540;240;39;4;709;112;9
199442574;2976911694;2019;7;5;36;36918;21;5;7;71;17;6
59038744;1912983829;2012;17;65;50;1019458;119;43;9;282;58;17
186206930;3009062482;2020;1;11;109;397285;2;2;1;2;2;12
55064165;2963377754;2018;1;23;13;120;1;1;1;1;1;13
6419564;2142276690;1991;3;746;29;35202;534;105;3;666;109;6
46048980;2116513663;2011;16;135;28;16213;122;29;9;482;82;8
119449377;2788771226;2018;1;5;42;49055;22;9;1;22;9;11
119275264;2963884790;2018;2;5;191;199756;132;35;2;174;56;13
118822383;1551207815;1988;4;28;0;375895;1;1;4;36;27;29
119262470;1839713970;2012;4;125;71;10114;27;16;4;426;99;12
4798542;2571624366;2018;4;9;13;81588;92;18;4;9;3;13
119711964;2965594286;2012;1;8;18;157202;68;9;1;68;9;11
116485664;2519129141;2017;3;105;26;30416;58;17;3;360;56;10
119369504;2951927877;2018;8;16;83;80718;34;12;9;350;44;15
118380112;2788385467;2013;3;16;44;49267;9;4;3;5;4;10
919535;2962864161;2012;2;8;39;25229;55;13;2;78;13;12
2849175;2115557450;2013;2;6;10;87188;978;115;2;219;28;7
56102203;2168072079;2006;3;32;13;31294;492;38;3;115;19;6
208075802;2999333235;2020;2;2;150;31989;8;2;2;127;32;7
204734556;2980665101;2019;3;6;67;292290;116;28;3;9;2;10
46818267;2558018685;2017;5;4;37;397285;29;9;5;112;32;11
119436091;3015783834;2020;6;0;50;36151;15;3;6;27;8;12
119731656;2963385596;2014;3;8;32;34330;10;3;3;99;10;10
119096212;2920339386;2019;4;22;91;183;71;26;4;213;59;11
2347472;2620282772;2017;5;3;11;3812;6;2;5;221;21;17
119312521;3007146106;2019;2;4;0;85145;1;1;2;1;1;11
17169132;2046132104;2015;2;174;38;11611;25;10;2;94;26;23
73612683;2059125862;2014;3;4;35;273451;63;19;3;87;16;11
15254945;2557017407;2015;5;13;78;28327;289;46;5;39;12;14
115155570;1955202834;2008;2;2;29;147948;1;1;2;1;1;13
54873136;2082935065;2013;4;4;3;408729;148;17;4;1012;46;15
122815410;2963772730;2017;2;28;53;35737;454;91;2;22;6;13
19082709;2035630188;2010;3;19;42;30432;70;19;3;63;17;16
119314781;2110209201;2013;2;0;33;104075;15;9;2;15;8;14
119075674;2134007284;2007;2;16;25;26453;242;20;2;103;15;9
119163756;2800126799;2018;3;62;71;104075;1;1;3;19;10;13
17102106;2125942399;2009;2;3;3;44052;1;1;2;1;1;7
14120743;2954034793;2009;1;0;0;55817;143;51;1;143;51;6
119238531;2963159316;2017;2;4;28;205194;1;1;2;57;12;11
13952386;2950018400;2001;2;6;11;62403;267;65;2;171;28;8
51877955;2732694967;2018;5;15;44;98883;212;23;5;172;22;20
13996987;2058149652;1994;3;9;20;80718;2;2;3;4;3;5
119239834;2550412227;2017;5;11;55;36151;9;4;5;161;21;12
7534356;2593767707;2011;6;19;19;172327;310;49;6;17;10;15
121678522;2053463136;2015;2;10;59;35456;20;1;2;314;62;7
10042854;2088137664;2012;2;12;39;289834;1;1;2;185;62;17
195657869;2005859076;2011;6;19;17;555443;16;6;6;4;3;13
55289661;1773242871;2008;6;12;90;67140;6;6;6;421;96;16
115130636;2890678791;2019;15;40;211;199756;62;26;9;15;8;16
195069182;2949423544;2019;4;7;61;22039;9;6;4;40;11;12
40795435;2128623233;2011;8;24;28;159297;67;26;8;421;74;12
118811681;2609817728;2018;3;8;31;84692;2;2;3;281;29;6
44719735;2339466379;2016;5;7;41;1610;11;4;5;1;1;10
9443166;1510013667;2009;4;18;89;74693;629;92;4;1;1;7
59170889;2282383487;2016;1;0;15;12934;1;0;1;1;0;10
51729295;1850247326;2015;10;28;77;485;28;10;9;313;67;16
122455548;2132290287;1981;2;84;16;99098;129;55;2;5;4;13
118306110;2793808844;2011;521;1;0;263638;24;15;99;152;50;16
202889265;3002708031;2020;7;3;133;199756;2;1;7;144;38;7
119262440;1855126038;2011;6;11;74;199756;76;27;6;510;80;17
119246191;1919286449;2015;15;62;60;199756;292;84;9;335;92;21
119161387;1944275994;2012;5;0;38;43598;32;13;5;45;12;10
118413752;1964484702;2005;1;3;16;161871;2;1;1;2;1;6
15634518;1968289998;2005;2;32;49;3999;70;26;2;213;63;8
15013857;1973734747;2009;1;3;2;382015;731;34;1;731;34;9
17860431;1991674934;2003;3;7;34;4700;273;52;3;40;11;10
16071601;1992352785;2010;1;1;40;89929;77;22;1;77;22;8
53457890;1996351766;2014;3;21;8;273451;45;8;3;22;6;14
18729584;1997637693;1979;1;60;25;42875;80;16;1;80;16;10
18713387;2000546520;2013;8;54;58;11502;356;62;8;530;135;20
6821579;2006311456;1997;3;52;55;61934;351;100;3;554;109;11
119285651;2012835304;2010;2;234;43;164602;118;21;2;132;39;15
11646764;2013106529;2002;2;8;1;596602;27;8;2;78;10;15
2013455;2014223029;2011;2;2;26;76535;115;22;2;73;10;10
15162953;2019220573;2007;3;23;28;157202;1091;75;3;32;5;18
6182764;2019321376;1997;2;104;15;633776;185;31;2;133;23;10
6455117;2020938661;2010;1;3;27;245357;26;5;1;26;5;8
2712654;2031179681;2007;1;33;28;15694;36;11;1;36;11;8
119143388;2031622811;2009;3;99;39;108040;132;39;3;68;13;12
14541314;2032845668;1996;3;158;40;48110;944;128;3;167;60;12
6936341;2039247306;2008;3;80;67;67140;75;20;3;313;87;11
8274876;2046132425;2014;3;4;0;18831;421;64;3;1649;116;4
119127694;2047990248;2015;3;2;54;93877;120;21;3;104;16;13
13872387;2059225669;2001;1;84;43;183447;260;47;1;260;47;4
693014;2063794172;2000;1;1;0;19150;23;5;1;23;5;9
16568720;2082309150;2010;3;8;52;80718;324;53;3;134;33;12
118830129;2094575668;2011;1;230;103;43598;498;90;1;498;90;24
16462794;2097199190;2000;3;7;25;79269;74;19;3;144;66;11
14169689;2098931725;2004;2;16;83;58344;371;105;2;7;2;13
14977730;2104187975;2006;3;106;43;22442;56;19;3;524;74;17
53486489;2112676545;2015;6;60;55;12273;831;76;6;134;35;10
16492030;2155831136;2006;2;109;22;189985;41;13;2;98;15;8
18023756;2157620867;2000;3;4;2;55817;51;8;3;5;3;18
7728071;2165923712;2003;2;341;35;54438;110;49;2;280;65;12
13885038;2167182504;2012;3;13;93;199756;262;39;3;54;10;13
119134572;2169047718;2016;2;2;19;25761;23;8;2;70;14;5
53960075;2245814237;2017;2;233;32;286988;178;63;2;63;28;7
119306945;2539776746;2018;2;33;23;25576;28;7;2;47;10;5
49479532;2599824257;2012;4;0;0;51283;22;7;4;58;10;10
119095313;2609262944;2017;3;5;39;45093;156;18;3;279;20;11
118644377;2625583653;2018;1;3;0;165260;106;13;1;106;13;4
15320358;2890477903;2018;2;7;47;106228;34;7;2;898;67;11
119102728;2943433221;1999;3;6;0;74693;2;1;3;183;33;6
18095802;2949503888;2004;4;30;11;36544;80;19;4;212;27;14
3159296;2949507147;2004;5;20;1;80030;46;9;5;15;9;7
15854563;2950726516;1994;3;62;13;57592;137;33;3;24;12;6
17086269;2952373509;1994;2;193;21;567812;190;76;2;12;5;12
