s2orc_paper_id;year;mag_id;author_num;citation_count;reference_count;title
34414608;2008;349767835;8;0;0;equilibrium in heavy ion collisions
1708776;2017;1480729583;5;8;100;longevity and technological change
13307859;2011;2164959292;4;353;247;canadian clinical practice guidelines for acute and chronic rhinosinusitis
201059539;2010;1523394679;3;16;46;immunohistochemical detection of ki 67 is not associated with tumor infiltrating macrophages and cyclooxygenase 2 in oral squamous cell carcinoma
14100385;2016;1533800505;5;18;22;stochastic variational inequalities and regularity for degenerate stochastic partial differential equations
91584513;2010;1965365096;4;8;9;a note on twisted discrete singular radon transforms
691276;2010;1971842233;7;6;34;koszul duality for monoids and the operad of enriched rooted trees
54956439;2009;1978875564;4;75;35;finite volume scheme for two phase flows in heterogeneous porous media involving capillary pressure discontinuities
95158;2010;2095710148;6;13;0;covariant solution of the three quark problem in quantum field theory the nucleon
3833496;1998;2111792327;11;14;6;rapid differential rotation of protoneutron stars and constraints on radio pulsars periods
15011797;2011;2116017346;6;241;86;the puzzle of patent value indicators
35106034;2008;2137539845;4;0;1;cpt violations in astrophysics and cosmology
51602176;2009;2138263436;1;57;42;spin down rate and inferred dipole magnetic field of the soft gamma ray repeater sgr 1627 41
5595192;2013;2141713902;3;16;20;dizeez an online game for human gene disease annotation
10052520;2011;2166316700;4;31;32;analysis of 14c and 13c in teeth provides precise birth dating and clues to geographical origin
2487312;2006;2486383951;4;7;0;predicting exceptions in agent based supply chains
42190049;2016;2530538140;6;19;66;sirtuin 1 promotes deacetylation of oct4 and maintenance of naive pluripotency
163606;2018;2765164676;6;8;56;measuring in vivo responses to endogenous and exogenous oxidative stress using a novel haem oxygenase 1 reporter mouse
15660162;2019;2907617928;3;7;50;the effect of the charge pattern on the applicability of a nanopore as a sensor
14672579;2020;2962988134;3;1;28;an almost rigidity theorem and its applications to noncompact rcd 0 n spaces with linear volume growth
15993159;2012;2963162652;3;6;20;combinatorics of rna rna interaction
10521748;2017;2963239505;7;4;0;the method of almost convergence with operator of the form fractional order and applications
4939985;2016;2963337715;1;6;0;circuits and hurwitz action in finite root systems
59466237;2020;2965822216;4;5;13;a surface with discontinuous isoperimetric profile and expander manifolds
