s2orc_paper_id;year;mag_id;author_num;citation_count;reference_count;title
16880444;2013;1479737182;4;1;0;improved image set classification via joint sparse approximated nearest subspaces
17352760;2013;1500659650;1;3;20;on the cusped fan in a planar portrait of a manifold
578349;2006;2584260698;3;0;0;automating proofs in category theory
5167271;2005;2522327589;2;0;0;proof planning for first order temporal logic
2725803;2017;1554423888;3;24;31;counting and packing hamilton cycles in dense graphs and oriented graphs
2680602;2005;1556243378;6;7;0;a stream oriented power management protocol for low duty cycle sensor network applications
26479450;2016;1581827580;1;1;10;connectivity for bridge alterable graph classes
43176051;2011;1625948315;2;0;31;generation of topologically useful entangled states
14274262;2013;1694887423;4;5;54;corporate tax competition between firms
8831047;2015;1700901120;4;23;16;boundary systems and skew self adjoint operators on infinite metric graphs
40559674;2015;1859600903;2;5;39;on the amplitude of external perturbation and chaos via devil s staircase stability of attractors
43801651;2003;2526946698;3;2;0;using separate processing for read only transactions in mobile environment
333785;2015;1913896462;2;4;28;moore graphs and cycles are extremal graphs for convex cycles
16185702;2014;1949768901;3;3;35;effective computation of immersion obstructions for unions of graph classes
653984;2016;1953966876;3;16;40;removing mixture of gaussian and impulse noise by patch based weighted means
1236;2004;1969581540;1;109;36;updating beliefs with incomplete observations
17145762;2015;1971404613;4;5;25;one way quantum computer simulation
691276;2010;1971842233;7;6;34;koszul duality for monoids and the operad of enriched rooted trees
14726071;2003;1979392751;3;6;15;treating the independent set problem by 2d ising interactions with adiabatic quantum computing
14531812;2004;1991341583;1;9;43;a correspondence between temporal description logics
282895;1999;1591897286;2;10;22;a correspondence between temporal description logics
8274124;2010;1994111344;3;0;18;limits of dihedral groups
15126836;2007;2012435866;1;0;11;on the hodge structure of degenerating hypersurfaces in toric varieties
15348366;2015;2020481222;4;71;34;on content based recommendation and user privacy in social tagging systems
11062869;2005;2024810302;1;9;32;fast reconstruction of delaunay triangulations
17315153;2006;2027029138;3;24;24;randomness and universal machines
18385766;2013;2031598768;4;24;50;a closed loop anesthetic delivery system for real time control of burst suppression
210714576;2010;2056104224;5;58;31;domination in graphs with bounded propagation algorithms formulations and hardness results
202712678;2012;2084291270;1;207;86;tracing the star formation density relation to z 2
6786632;2004;2995660800;3;0;0;applying generalized non deducibility on compositions gndc approach in dependability
13581984;2004;2461907743;2;0;0;separable concave optimization approximately equals piecewise linear optimization
13361520;2006;2592965936;3;0;0;personalized detection of fresh content and temporal annotation for improved page revisiting
2973927;2007;2105242476;1;24;41;cuspidal and noncuspidal robot manipulators
3222139;2012;2106322422;5;53;33;occupational choice and development
53231671;2004;2109211071;3;21;16;analytical and numerical solution of a coupled kdv mkdv system
19004499;2010;2110350701;3;6;18;structural em for learning pdg models from incomplete data
55019027;2013;2129379069;2;6;12;augmented down up algebras and uniform posets
5352336;2008;2136755165;2;81;47;costly enforcement of property rights and the coase theorem
16815638;2008;2138256399;4;53;26;a dirac type result on hamilton cycles in oriented graphs
17319523;2011;2139599273;2;257;47;dspsr digital signal processing software for pulsar astronomy
5595192;2013;2141713902;3;16;20;dizeez an online game for human gene disease annotation
638513;2015;2947661187;4;0;0;a smart phone based gait monitor system
14952806;2016;2404155121;4;9;55;reasoning by exclusion in the kea nestor notabilis
3429309;2018;2412782625;5;6792;99;deeplab semantic image segmentation with deep convolutional nets atrous convolution and fully connected crfs
18335403;1998;2496020075;4;0;0;heterodyne holography applications in studies of small components
2990230;2017;2497858693;2;3;37;sunflowers and testing triangle freeness of functions
19175604;2018;2535619235;2;3;28;compromise solutions for robust combinatorial optimization with variable sized uncertainty
16139557;2007;2162165644;2;87;65;synchronizing timelines relations between fixation durations and n400 amplitudes during sentence reading
1072005;2004;2566400186;5;11;0;finding k disjoint triangles in an arbitrary graph
3475969;2010;2093333858;2;113;36;sorting versus screening search frictions and competing mechanisms
8928307;2006;2804995076;4;1;0;kernels for the vertex cover problem on the preferred attachment model
9813424;2017;2949288242;4;22;0;quantum resource estimates for computing elliptic curve discrete logarithms
55009753;2019;2951240563;1;7;0;bichromatic travelling waves for lattice nagumo equations
53236530;2020;2952039123;3;3;49;the sparsest additive spanner via multiple weighted bfs trees
5073265;2017;2962860067;1;2;12;the a graph coloring problem
33596726;2012;2962944213;2;12;17;existence of weak solutions for a class of semilinear stochastic wave equations
3609994;2018;2962957542;3;4;21;on douglas rachford operators that fail to be proximal mappings
37100261;2012;2962973319;2;9;10;connectivity of kronecker products by k2
42489969;2018;2963025906;2;12;25;prevalence and citation advantage of gold open access in the subject areas of the scopus database
10521748;2017;2963239505;7;4;0;the method of almost convergence with operator of the form fractional order and applications
6524978;2013;2963319719;3;0;3;solitaire mancala games and the chinese remainder theorem
9096277;2013;2963364193;2;12;30;the complexity of generalized domino tilings
18435935;2010;2963481646;2;5;23;an inverse spectral theory for finite cmv matrices
15762169;2017;2963646327;3;22;71;algebraic modal correspondence sahlqvist and beyond
32430751;2018;2963856015;3;8;49;multi view dynamic facial action unit detection
14639080;2017;2963963665;1;8;34;point process based monte carlo estimation
11704758;2017;2963998718;3;12;37;resilience of core periphery networks in the case of rich club
16555102;2019;2964085117;1;0;0;the combinatorics of weighted vector compositions
2216379;2004;2997617429;3;0;0;margin maximizing discriminant analysis
15282282;2020;2997657741;4;3;42;wideband 67 116 ghz receiver development for alma band 2
119702048;2019;2999937183;3;0;0;nearly neighbourly families of standard boxes
51791460;2020;3009914920;2;18;85;deformed general relativity and quantum black holes interior
210116692;2020;3010472383;5;3;5;global sensitivity analysis in load modeling via low rank tensor
6964023;2016;2963667310;2;11;0;easy to win hard to master optimal strategies in parity games with costs
53052501;2020;3022133575;3;0;48;machine learning technique to improve anti neutrino detection efficiency for the ismran experiment
3152863;2015;2144055462;2;28;46;volatility spillovers in emu sovereign bond markets
8173387;2016;2303314472;2;15;0;minimal geodesics along volume preserving maps through semidiscrete optimal transport
40486748;1992;115069238;2;7;10;perfect powers in products of terms in an arithmetical progression iii
199442574;2019;2976911694;7;5;36;portable simulation framework for diffusion mri
54569154;2008;1840356856;7;55;47;supersymmetry versus ghosts
9959151;2015;2407772006;4;6;0;statistical symbolic execution with informed sampling
14407461;2000;1994358002;1;3;16;almost periodic passive tracer dispersion
7917641;2017;1908073171;3;9;34;discriminative and efficient label propagation on complementary graphs for multi object tracking
199577413;2020;2976597061;2;1;6;light edges in 1 planar graphs of minimum degree 3
14819949;2010;427286788;2;1;0;relational reinforcement learning with continuous actions by combining behavioral cloning and locally weighted regression
209426675;2017;2621565987;5;16;26;measurement of the b production asymmetry and the cp asymmetry in b j ψk decays
29936858;2012;2027638118;3;10;17;heart disease in patients with thyroid dysfunction hyperthyroidism hypothyroidism and beyond
17797087;2012;2734907804;4;37;32;path planning and collision avoidance for robots
23644814;2018;2618072050;3;14;65;modeling flow in porous media with double porosity permeability a stabilized mixed formulation error analysis and numerical solutions
2026569;2007;1977531046;3;54;12;analysis of silver ink bow tie rfid tag antennas printed on paper substrates
6374310;2017;2594037736;2;9;67;an algorithm for the reconstruction of high energy neutrino induced particle showers and its application to the antares neutrino telescope
119162262;2019;2778983193;3;6;8;on strictly deza graphs with parameters n k k 1 a
56657868;2020;3015744214;6;8;37;a review of performance energy and privacy of intrusion detection systems for iot
160208;2004;2332182779;3;5;8;short communication fsh time concentration profiles before and after administration of 0 25 mg cetrorelix in the gnrh antagonist multiple dose protocol for ovarian hyperstimulation
53654495;2015;1940787084;2;18;53;skill metrics for evaluation and comparison of sea ice models
15601635;2009;2130440230;7;4;22;segmentation of striatal brain structures from high resolution pet images
42484471;2017;2605692204;3;2;29;enabling semantics to improve detection of data races and misuses of lock free data structures enabling semantics to improve detection of data races and misuses of lock free data structures
40550124;2015;1833042526;3;7;41;multipoint observations of the open closed field line boundary as observed by the van allen probes and geostationary satellites during the 14 november 2012 geomagnetic storm
31019129;2015;1963825920;2;24;31;a projected preconditioned conjugate gradient algorithm for computing many extreme eigenpairs of a hermitian matrix
14080011;2020;2982327144;4;3;59;do bulges stop stars forming
15992974;1992;1864742560;4;123;0;amino acid sequence and predicted three dimensional structure of pea seed pisum sativum ferritin
1134336;2009;2053245796;3;6;13;optimal online list batch scheduling
199405460;2020;2991119219;2;2;48;a tutorial driven introduction to the parallel finite element library fempar v1 0 0
2305800;2012;2118215847;3;0;2;the national cardiothoracic centre accra ghana proceedings of the second international update course in cardiology improving the coverage of cardiology services
17772781;2007;2058824702;4;78;7;enumeration and limit laws for series parallel graphs
14011177;2002;1528466706;2;15;14;explicit and efficient formulas for the lattice point count in rational polygons using dedekind rademacher sums
1464209;2012;2096211361;2;15;32;returns to schooling ability and cognitive skills in pakistan
6348305;2007;2100026337;3;67;22;endogeneity in management accounting research a comment
119619729;2020;2913024421;2;1;58;first order continuous and discontinuous galerkin moment models for a linear kinetic equation model derivation and realizability theory
11349921;2014;1965955669;5;6;21;wetland planning current problems and environmental management proposals at supra municipal scale spanish mediterranean coast
12849539;2015;1828519757;1;172;290;predicting colloid transport through saturated porous media a critical review
36907352;2016;2950129998;2;6;199;prediction and clarification of structures of bio molecules on surfaces
39641581;2015;2756979373;4;0;0;measurement and analysis of the lowest resonant mode of a spherical annular sector patch antenna
13927977;2012;2405491674;4;2;0;approximate graph isomorphism
14105798;2011;2055623023;1;4;13;evaluating demand side measures in simulation models for the power market
17682015;2016;2311337072;4;8;65;population scale foraging segregation in an apex predator of the north atlantic
38179252;2015;2007188905;4;10;54;predicting intentions and behaviours in populations with or at risk of diabetes a systematic review
119594179;2020;3004294979;3;1;42;effective new methods for automated parameter selection in regularized inverse problems
18440440;2014;2584659503;2;0;0;preciseness of subtyping on intersection and union types
4057730;2019;2795163135;4;34;30;repucoin your reputation is your power
52015636;2006;2101758148;5;62;32;application of wavelet based tools to study the dynamics of biological processes
7359114;2013;2963965705;4;2;6;towards a weighted version of the hajnal szemeredi theorem
198358658;2014;2094197368;4;17;16;full length article almost lipschitz continuous wavelets in metric spaces via a new randomization of dyadic cubes
14025462;1997;1970437113;4;4;30;multilevel modelling for engineering design optimization
7318;2002;60734723;3;16;4;focus and context taken literally
43365537;2003;1481003685;2;51;67;projecting future climate change implications of carbon cycle model intercomparisons
2630803;2009;2140799769;10;29;45;interannual variability in atmospheric co2 uptake on the northeast u s continental shelf
