s2orc_paper_id;year;mag_id;author_num;citation_count;reference_count;title
153997343;2002;2011896872;2;32;35;purchasing power parity granger causality tests for the yen dollar exchange rate
299873;2010;2018090882;2;393;55;realising the future forecasting with high frequency based volatility heavy models
53652362;2002;2018253264;2;57;19;thermal convection in a cylindrical annulus heated laterally
154640530;1997;2068496814;2;293;19;the option value of advanced r d
39488850;2015;2098424794;3;1;24;the political economics of higher education finance for mobile individuals
154965277;2015;2118727028;5;17;51;econometric regime shifts and the us subprime bubble
6175988;2013;2119884887;3;375;48;the monopoly of violence evidence from colombia
59153655;2008;2133276644;2;11;15;the metric cutpoint partition problem
54696262;2014;2145360866;3;182;62;upper limit for sea level projections by 2100
10127158;2014;2161850370;2;5;53;on the individual optimality of economic integration
154472215;2002;2165722001;2;312;30;the purchasing power parity persistence paradigm
53622716;2017;2235265174;2;1;21;longevity age structure and optimal schooling
195282560;2016;2256503782;4;8;33;an entropy stable discontinuous galerkin finite element moment method for the boltzmann equation
19394306;2012;2086922847;2;55;39;sme dependence and coordination in innovation networks
3475969;2010;2093333858;2;113;36;sorting versus screening search frictions and competing mechanisms
181525359;2019;2946172734;4;0;0;small african economies in a more uncertain global trade environment the potential impact of post agoa scenarios for lesotho
42489969;2018;2963025906;2;12;25;prevalence and citation advantage of gold open access in the subject areas of the scopus database
119172580;2017;2963087091;2;13;27;refraction reflection strategies in the dual model
33075931;2019;2979894627;2;5;24;boosting search performance using query variations
53453437;2019;2999566775;1;0;0;a classification of star log symplectic structures on a compact oriented surface
16035896;1997;2088276877;2;14;6;optimal actuarial fairness in pension systems a note
12683930;2015;2125520845;2;0;19;a global trade model for the euro area
2364435;2010;2141216910;1;14;26;continuity and differentiability of expected value functions in dynamic discrete choice models
13902245;2003;1972558036;2;65;45;talking about aids the influence of communication networks on individual risk perceptions of hiv aids infection and favored protective behaviors in south nyanza district kenya
42834708;2013;2099756572;2;19;50;stability of a liquid ring on a substrate
46893061;2013;1989905368;6;31;3;an interview methodology for exploring the values that community leaders assign to multiple use landscapes
14080011;2020;2982327144;4;3;59;do bulges stop stars forming
108286692;2011;2962923891;4;4;93;the general form of γ family of quantum relative entropies
153359305;2010;1582892904;3;87;50;role of corporate governance in mitigating the selective disclosure of executive stock option information
54737917;2017;2611762587;2;1;0;some results on the symmetric doubly stochastic inverse eigenvalue problem
18298218;2010;2015004135;1;16;74;prejudice and gender differentials in the us labor market in the last twenty years
16940879;2014;2059208633;1;66;83;a social connection approach to corporate responsibility the case of the fast food industry and obesity
158637234;2017;2746177720;4;24;67;promoting flood risk reduction the role of insurance in germany and england
37416527;2000;2469682971;1;4;0;a coached collaborative learning environment for entity relationship modeling
3867980;2016;2273917901;2;26;16;are smartphones smart for economic development
53959460;2013;1973950346;3;71;67;decentralization as a constraint to leviathan a panel cointegration analysis
154263383;2012;1990496580;2;6;41;payg pensions and economic cycles exogenous versus endogenous fertility
59135235;2012;1991460032;2;11;36;family dissolution and precautionary savings an empirical analysis
15395229;2012;1992999014;2;57;52;do people become healthier after being promoted
