s2orc_paper_id;year;mag_id;author_num;citation_count;reference_count;title
34414608;2008;349767835;8;0;0;equilibrium in heavy ion collisions
1708776;2017;1480729583;5;8;100;longevity and technological change
1649814;2011;1494805837;14;18;0;canadian clinical practice guidelines for acute and chronic rhinosinusitis
13307859;2011;2164959292;4;353;247;canadian clinical practice guidelines for acute and chronic rhinosinusitis
14100385;2016;1533800505;5;18;22;stochastic variational inequalities and regularity for degenerate stochastic partial differential equations
15702788;2016;1754350508;4;83;50;joint estimation of multiple graphical models from high dimensional time series
27685094;2014;1964781930;3;3;56;electric transition dipole moment in pre born oppenheimer molecular structure theory
691276;2010;1971842233;7;6;34;koszul duality for monoids and the operad of enriched rooted trees
6841230;2012;1987257106;6;2;8;has u s inflation really become harder to forecast
14127650;2011;1990331975;2;22;13;almost isoperimetric subsets of the discrete cube
8274124;2010;1994111344;3;0;18;limits of dihedral groups
7036151;2003;2011235466;8;91;19;importance of extrasegmental vessels for spinal cord blood supply in a chronic porcine model
207709612;2010;2024198142;8;26;24;a stochastic representation for backward incompressible navier stokes equations
2412759;2007;2046545050;4;132;13;piggy bank experience the semantic web inside your web browser
72940656;2008;2050212551;7;28;11;a critical exponent balian low theorem
10316337;2012;2069764498;2;20;53;semidefinite programming for min max problems and games
2490155;2015;2079947444;3;85;37;selection and estimation for mixed graphical models
97543156;2013;2084948456;4;3;69;l walras and c menger two ways on the path of modern monetary theory
95158;2010;2095710148;6;13;0;covariant solution of the three quark problem in quantum field theory the nucleon
3222139;2012;2106322422;5;53;33;occupational choice and development
3833496;1998;2111792327;11;14;6;rapid differential rotation of protoneutron stars and constraints on radio pulsars periods
4117281;2014;2111873666;10;4;26;analytical aspects of the brownian motor effect in randomly flashing ratchets
15011797;2011;2116017346;6;241;86;the puzzle of patent value indicators
10716051;2005;1983592142;2;257;47;behavioral and electrophysiological evidence for configural processing in fingerprint experts
16789028;2014;2121278322;3;2;14;accurate and automated image segmentation of 3d optical coherence tomography data suffering from low signal to noise levels
21702619;2014;1576308235;4;0;0;accurate and automated image segmentation of 3d optical coherence tomography data suffering from low signal to noise levels
