s2orc_paper_id;year;mag_id;author_num;citation_count;reference_count;title
18423290;2004;2082134024;2;0;3;equilibrium in heavy ion collisions
118908640;2015;1482370211;1;9;35;do emissions and income have a common trend a country specific time series global analysis 1970 2008
119149508;2015;1482749028;2;3;20;on the integrability of a system describing the stationary solutions in bose fermi mixtures
119182468;2011;1593871619;3;2;5;on the provable security of bear and lion schemes
43176051;2011;1625948315;2;0;31;generation of topologically useful entangled states
53338509;2015;1766331502;94;57;95;lofar discovery of a quiet emission mode in psr b0823 26
40559674;2015;1859600903;2;5;39;on the amplitude of external perturbation and chaos via devil s staircase stability of attractors
118015610;2016;1928045444;2;0;49;a new approach to improve ill conditioned parabolic optimal control problem via time domain decomposition
56317105;2010;1955148565;11;264;34;analytical approximations of k corrections in optical and near infrared bands
27685094;2014;1964781930;3;3;56;electric transition dipole moment in pre born oppenheimer molecular structure theory
17145762;2015;1971404613;4;5;25;one way quantum computer simulation
122421328;2005;1978124198;2;19;10;hypergraphs and a functional equation of bouwkamp and de bruijn
14726071;2003;1979392751;3;6;15;treating the independent set problem by 2d ising interactions with adiabatic quantum computing
119153874;2005;1994847769;1;5;9;dynamical clusters of infinite particle dynamics
118438457;2011;2013527347;7;54;69;galaxy properties in different environments up to z 3 in the goods nicmos survey
17388008;2007;2019058562;5;26;187;baryon baryon and baryon antibaryon interaction amplitudes in the spin momentum operator expansion method
5559496;2001;2021822231;2;285;198;the nucleon nucleon interaction
14908326;1995;2032074328;4;14;13;the feynman integrand for the perturbed harmonic oscillator as a hida distribution
15600972;2013;2034663072;2;234;48;site specific c terminal and internal loop labeling of proteins using sortase mediated reactions
119254963;2013;2040000202;3;0;7;cooper pairs at above critical current region
208267906;2011;2040895392;10;33;15;energy dissipation and self similar solutions for an unforced inviscid dyadic model
33110824;2015;2045332543;2;16;39;electromagnetically induced transparency with laguerre gaussian modes in ultracold rubidium
15098708;2009;2048596004;2;31;23;orientation waves in a director field with rotational inertia
40987390;2012;2060971540;4;4;14;on prime ideals of noetherian skew power series rings
15458349;2008;2061347162;5;324;102;delay time distribution measurement of type ia supernovae by the subaru xmm newton deep survey and implications for the progenitor
18703841;2014;2063045682;3;15;24;bethe algebra of gaudin model calogero moser space and cherednik algebra
1354851;1997;2063327836;2;86;0;pattern formation in weakly damped parametric surface waves driven by two frequency components
119224078;2014;2068333003;6;31;54;chemical abundance analysis of the old rich open cluster trumpler 20
119191120;2006;2077586864;9;69;22;travelling kinks in discrete phi 4 models
202712678;2012;2084291270;1;207;86;tracing the star formation density relation to z 2
215238336;2011;2092329699;3;20;36;insights into the mechanisms of electromediated gene delivery and application to the loading of giant vesicles with negatively charged macromolecules
16871296;1999;2093289756;2;179;49;the properties of the galactic bar implied by gas kinematics in the inner milky way
67837589;2014;2528588135;2;0;0;record activity and stability of dealloyed bimetallic catalysts for proton exchange membrane fuel cells
118458495;2011;2112354520;5;57;86;a quantification of the non spherical geometry and accretion of collapsing cores
21702619;2014;1576308235;4;0;0;accurate and automated image segmentation of 3d optical coherence tomography data suffering from low signal to noise levels
10540115;2000;2127603276;11;0;0;spectroscopic confirmation of clusters from the eso imaging survey
3567203;2010;2135484842;4;8;92;can massive be oe stars be progenitors of long gamma ray bursts
